udtryk_id	talemaade_udtryk	ddo_definition
59007663	der er løbet meget vand gennem åen siden ..	noget der passer godt med nogens ønsker, hensigter eller meninger
59003195	slå til plukfisk	tæske, gennembanke; ødelægge, nedbryde
59011317	varme nogens ører	slå nogen (på siden af hovedet)
59008367	få kærligheden at føle	blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter
59009864	hvor der handles, der spildes	der er altid omkostninger eller tab forbundet med at foretage sig noget
59006147	ben i næsen	(være) dygtig, viljestærk og god til at klare sig
59010071	et plaster på såret	en (delvis) kompensation for tab, smerte eller lignende
59004897	små gryder har også ører	også børn hører og forstår hvad der bliver sagt omkring dem
59003379	asfaltere mens man kører	tilpasse sig og tage nye beslutninger i en proces hvor vilkårene løbende ændrer sig
59005655	være karl for sin hat	være selvsikker og kompetent
59011082	som en brækket arm	elendigt; talentløst
59010217	have et øje på hver finger	være meget opmærksom og agtpågivende, fx i trafikken
59000607	hvad hjertet er fuldt af, løber munden over med	man kommer nemt til at røbe hvad der optager ens tanker mest
59009728	koste spidsen af en jetjager	være urimelig dyr
59005960	man skal rejse sig ved det træ hvor man er faldet	man skal kæmpe sig op med samme middel som var årsag til at man led nederlag, blev skadet eller lignende
59007370	tabe småkagerne	miste forstanden eller besindelsen; gøre eller sige noget dumt
59000604	skille fårene fra bukkene	sortere de(t) gode fra de(t) dårlige
59002210	være på den grønne gren	være i en gunstig, privilegeret situation, fx pga. held, flid eller dygtighed
59012243	med omvendt fortegn	karakteriseret ved at være diametralt modsat af noget på forhånd kendt eller netop omtalt
59004065	lokke nogen ud af busken	få nogen til at gøre eller sige noget som vedkommende har været tilbageholdende med
59005833	hugge en hæl og klippe en tå	tilpasse noget (ved grove metoder) for at få det til at passe én selv eller for at få det til at ligge inden for nogle afstukne rammer
59010518	ikke være til at styre på en hel tønde land	være meget begejstret, engageret eller ustyrlig, fx i forbindelse med en leg eller en diskussion
59004304	man skal ikke give bagerbørn hvedebrød	man skal ikke give nogen noget som vedkommende i forvejen har nok af eller let adgang til
59012914	holde kortene tæt til kroppen	være tilbageholdende med at give oplysninger i en (kontroversiel) sag
59004371	have gode kort på hånden	have gode chancer; være i en fordelagtig situation
59002319	hvad er højest, Rundetårn eller et tordenskrald?	bruges for at udtrykke at to ting ikke kan sammenlignes
59010252	finde melodien	(atter) finde sammen i indbyrdes harmoni; (gen)finde indre glæde, ro, selvtillid eller lignende
59004101	have nogen el. noget i kikkerten	have udset sig nogen eller noget til et bestemt formål, en bestemt opgave eller lignende
59011805	gennemgå med en tættekam	gennemgå meget omhyggeligt
59001940	fra hestens egen mund	direkte fra en person selv; direkte fra en primær kilde
59006462	en sund sjæl i et sundt legeme	åndelig og legemlig sundhed hænger sammen, og begge dele skal plejes
59002743	hverken se til højre eller venstre	kun have tanke for én ting og ikke bekymre sig om andet
59009204	bo i en kuffert	rejse eller flytte meget tit, fx fordi éns arbejde kræver det; ikke have et fast sted at bo
59013047	to sjæle, én tanke	bruges når to personer har fået den samme tanke eller idé
59001000	hælde benzin på bålet	(forsøge at) forstærke virkningen af noget
59004185	trække tænderne ud	svække alvorligt; gøre uskadelig
59011876	ved kasse ét	bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt
59011856	man skal ikke flyve højere end vingerne kan bære	man skal ikke gøre sig til mere end man er; man skal ikke sætte sig større mål end man kan overkomme
59010872	slag på tasken	omtrentlig beregning af nogets størrelse, omfang eller antal
59009045	gnide salt i såret	forøge smerten og pinen, ofte den psykiske
59008485	logik for burhøns	noget der er yderst let at forstå
59008605	køre på skinner	fungere tilfredsstillende, uden problemer eller med stor succes
59004826	hånd i hanke med	kontrol med; styr på
59002289	helt ind i knoglerne	bruges for at udtrykke at noget sanses eller mærkes meget intenst i kroppen
59009471	det er ikke studenterhuen der trykker	bruges for at udtrykke den vurdering at den pågældende person ikke er særlig begavet, klog eller godt uddannet
59004716	hvile på laurbærrene	stille sig tilfreds med de resultater man har opnået, og opgive videre stræben (indtil videre)
59000955	komme ind fra gaden	pludselig dukke op og gøre sig gældende i en bestemt sammenhæng uden forudgående erfaring
59012461	støde panden mod en mur	møde uoverstigelige vanskeligheder eller massiv modstand
59012743	når det regner på præsten, drypper det på degnen	en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode
59005659	være livet om at gøre	være meget vigtigt; gælde livet
59009091	goddag mand, økseskaft	bruges for at udtrykke at det nogen svarer, ikke har noget med spørgsmålet at gøre og således ikke giver nogen mening
59010062	dråben der får bægeret til at flyde over	det der virker som den udløsende kraft; det der får tålmodigheden til at briste
59001751	have en høne at plukke med nogen	have noget at bebrejde en person der har gjort noget som har vakt éns utilfredshed eller vrede
59013131	gå i nogens fodspor	følge nogens eksempel; føre en tradition videre efter nogen
59000327	den der kommer først til mølle, får først malet	folk bliver betjent i den rækkefølge de henvender sig
59007121	komme ind med firetoget	komme udefra, fx fra Provinsen til København, som ung og uerfaren og derfor lidt naiv
59003425	ikke kunne se skoven for bare træer	være så optaget af enkeltdele og detaljer at man ikke kan se helheden
59004489	sætte ulven til at vogte får	overlade behandlingen af en sag til nogen der selv har en åbenlys interesse i et bestemt udfald
59006074	når skidt kommer til ære, ved det ikke hvordan det skal være	bruges hånligt og nedladende om en person der pludseligt eller nyligt har opnået høj social status, men som ikke formår at opføre sig på passende standsmæssig vis
59002227	i mørke er alle katte grå	den der ikke er synlig eller ikke skiller sig ud fra mængden, forbliver anonym
59009991	være sulten som en ulv	være meget sulten
59006721	arbejde sin røv i laser	arbejde særdeles meget
59006149	ikke få et ben til jorden	ikke få mindste mulighed for at klare sig
59006696	skrive til skrivebordsskuffen	skrive (skøn)litterære tekster, men uden at have til hensigt at få dem udgivet
59006670	toppen af kransekagen	det bedste eller de dygtigste inden for et bestemt område
59000422	det glatte lag	sønderlemmende kritik; voldsomt verbalt angreb
59009089	gå i spagat over noget	blive stærkt følelsesmæssigt påvirket af noget
59001735	hellere se éns hæl end éns tå	hellere se én gå end komme eller blive; helst være fri for éns selskab
59003442	fryse til is	bruges som udtryk for at man bliver overvældet af rædsel eller lignende
59005560	hvad forstår bønder sig på agurkesalat	bruges for at påpege (eller undskylde) manglende viden om eller forståelse af et emne
59000496	skæg for sig og snot for sig	man bør holde ting der ikke hører sammen, adskilt
59005619	mennesket lever ikke af brød alene	mennesket har for at leve (lykkeligt) ikke bare brug for mad, men også for oplevelser af mere åndelig karakter
59009195	gå bananas	blive begejstret, vred eller skør
59006129	penge lugter ikke	penge har deres værdi uanset hvorfra de stammer, eller hvordan de er tjent
59006549	hive sig selv op ved håret	gøre en kraftanstrengelse og redde sig ud af en ubehagelig situation
59008426	sidde med hænderne i skødet	være inaktiv; være afventende og passiv
59008955	komme ind under huden	gøre dybt indtryk; fylde éns bevidsthed helt
59004087	tabe på gulvet	ødelægge eller forspilde nogens chancer eller muligheder for noget
59005576	få noget med på vejen	få noget fortalt af andre som man evt. kan bruge fremover
59004713	slå knuder på sig selv	gøre sig store anstrengelser (for at opnå noget bestemt)
59010833	vifte nogen om næsen med noget	bruge noget som lokkemad over for nogen; stille nogen noget i udsigt
59004733	den hellige grav er vel forvaret	alt er som det skal være, trods trusler og farer
59004180	heldet følger de tossede	handlekraftige, (dum)dristige mennesker er ofte også heldige
59004827	tanker er toldfri	ingen bliver straffet for sine tanker
59008427	med hård hånd	med anvendelse af vold eller anden streng behandling af andre
59010311	være et hestehoved foran	ligge et (lille) stykke foran nogen i en konkurrence, et kapløb eller lignende
59009050	nogens mund er lukket med syv segl	en person røber intet
59004436	satse alt på ét kort	satse alt på én gang
59000624	parkere bussen	spille defensivt med mange markspillere i egen forsvarszone for at forhindre modstanderholdet i at score
59012517	guds ord fra landet	uerfaren og naiv ung pige
59001168	feje af bordet	forkaste; afvise
59006988	blæse nogen en hatfuld	være helt ligeglad med nogen; ikke tage hensyn til nogen
59004903	have jord under neglene	have praktisk erfaring med landbrugs- eller havearbejde; udføre fysisk krævende arbejde
59005521	når nøden er størst, er hjælpen nærmest	når alting ser værst ud, er det lige før det begynder at blive bedre
59002737	stikke hånden i en hvepserede	(begynde at) beskæftige sig med en ømtålelig sag, med risiko for ballade
59006755	få blod på tanden	få eller give smag for eller mod på et bestemt forehavende
59006873	vise nogen vintervejen	afvise nogen; vende nogen ryggen
59008983	gå i ét med tapetet	være selvudslettende; undlade at gøre opmærksom på sig selv
59003444	nu er gode råd dyre	nu er der opstået et problem som er svært at løse
59002766	gå som varmt brød	blive solgt meget hurtigt og i stor mængde eller antal
59011296	se ud som om man er faldet ned fra månen	se meget forbløffet ud
59007123	krølle på halen	overraskende eller finurlig (afsluttende) detalje i en historie eller lignende
59000266	levende lig	person der har det meget dårligt fysisk og psykisk
59004124	sætte himmel og hav i bevægelse	foretage sig alt muligt for at nå et bestemt mål
59000284	ikke kunne gøre en flue fortræd	være fredsommelig og utilbøjelig til at gøre noget der kan skade andre
59012226	tage tyren ved hornene	resolut gøre noget der kræver selvovervindelse
59000634	tale nogen efter munden	være føjelig og give nogen ret selvom man ikke nødvendigvis er enig
59006619	bestemme hvor skabet skal stå	være den der bestemmer og har det sidste ord
59007544	godt begyndt er halvt fuldendt	en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning
59009057	have rundsave på albuerne	skubbe andre til side for at gavne sin egen karriere
59007152	den ene hånd ved ikke hvad den anden gør	et område virker kaotisk eller modsætningsfyldt, idet de enkelte dele ikke er koordinerede eller logisk sammenhængende
59005326	ikke nå nogen til sokkeholderne	have meget ringe evner i forhold til en anden
59006276	hr. og fru Danmark	den brede danske befolkning; danskere som de er flest
59013163	vende hver en sten	undersøge eller afprøve alle muligheder
59000598	holde dampen oppe	fortsætte på samme niveau med samme kraft og engagement
59003700	med mand og mus	bruges for at udtrykke at ingen overlever et skibsforlis
59011489	man skal ikke skue hunden på hårene	man skal ikke bedømme noget alene ud fra dets ydre
59006157	ingen roser uden torne	intet er så godt eller smukt at det er helt fri for fejl eller ulemper
59003997	slå hjernen fra	ikke tænke dybere over noget; ikke bruge sin fornuft, men handle instinktivt
59012862	sidde løst i sadlen	sidde usikkert i en stilling eller en position
59005083	ikke kunne se ud over sin egen næsetip	være egoistisk og snæversynet; kun tænke på sig selv
59000971	have en kage i ovnen	være gravid; vente barn
59005541	et vink med en vognstang	et indirekte, men tydeligt tegn til nogen om at forholde sig på en bestemt måde eller om hvordan noget forholder sig; et tydeligt praj
59003958	gå til makronerne	gå energisk i gang med noget og arbejde ihærdigt med det
59010377	sådan spiller klaveret ikke	det er forkert, umuligt eller uacceptabelt; sådan hænger tingene ikke sammen
59002347	trække nogen rundt ved næsen	narre nogen til at gøre noget; manipulere med nogen
59012539	lyve så stærkt som en hest kan rende	lyve groft; fortælle mange løgne
59012353	ikke være tabt bag en vogn	ikke være rådvild; være klog
59002002	æren er det fejreste træ i skoven	hæder og anerkendelse er vigtigst og går forud for andet
59003286	tage ordet ud af munden på nogen	sige det som en anden ville have sagt
59011042	bide til bollen	modstræbende indvillige i noget
59000318	med åben mund og polypper	med et meget forbavset udtryk i ansigtet
59002923	glansen går af Sankt Gertrud	den ydre fremtoning af skønhed og storhed forsvinder
59007867	den sne der faldt i fjor	bruges om hvad der nu er forsvundet, glemt eller uden interesse
59008606	lægge hænderne på kogepladen	tage et forpligtende, personligt ansvar der indebærer at man selv rammes af konsekvenserne af sine beslutninger
59001760	puste i nakken	overvåge; kontrollere
59009923	have nogen i sin hule hånd	have nogens hele opmærksomhed; have fuld kontrol med nogen
59002773	trække noget ned over hovedet på nogen	gennemføre noget mod nogens vilje eller uden at spørge den eller de implicerede; gennemtvinge noget
59010184	have en skrue løs	være (lidt) skør eller forvirret; ikke være rigtig vel forvaret
59003702	sætte alle sejl til	gøre en ekstra indsats for at noget skal lykkes; bruge alle forhåndenværende midler
59012416	hår på brystet	mod og styrke sådan som en rigtig mand menes at have det
59004301	sætte hælene i	modsætte sig noget; fastholde sin mening eller lignende
59009169	gøre kort proces	handle hurtigt og uden omsvøb, ofte sådan at det går ud over andre
59004095	så er det bal forbi	så er det slut (med at more sig)
59010505	dreje 180 grader	ændre til det modsatte eller til noget helt andet
59002769	høre en lille fugl synge om noget	høre et rygte om noget
59000329	ikke have noget liv	aldrig mødes med andre mennesker i selskabeligt lag; være socialt udstødt
59012026	i en snæver vending	i en situation hvor man har lidt travlt og er i bekneb; når det skal gå lidt hurtigt og være lidt nemt
59003460	overlade tøjlerne til nogen	give ansvaret for eller ledelsen af en forretning eller et foretagende videre til en efterfølger
59003588	vende sig i sin grav	protestere (hvis det havde været muligt) mod forhold i nutiden som strider mod den pågældendes vilje eller holdninger
59005361	lediggang er roden til alt ondt	når man ikke foretager sig noget nyttigt eller fornuftigt, skaber man let problemer for sig selv eller andre, fx fordi man af kedsomhed fristes til uacceptable handlinger
59004415	skud fra hoften	umiddelbart (og upræcist) gæt foretaget uden tænkepause
59012613	stå på god fod med nogen	have et godt forhold til nogen
59000258	vende den anden kind til	finde sig i en krænkelse eller et overgreb uden at gøre gengæld
59008984	skrive noget på nogens konto	give nogen skylden eller lade nogen tage ansvaret for noget
59011467	sno nogen om sin lillefinger	besnære nogen så vedkommende gør hvad man ønsker
59004121	sætte det lange ben foran	gå hurtigt; skynde sig
59004483	ryge fredspibe	(forhandle med henblik på at) slutte fred eller indgå forlig
59001432	stiv time	time betragtet som et langt (og krævende eller ubehageligt) tidsrum
59011737	havkat i hyttefadet	menneske der ved nytænkning eller utraditionel væremåde skaber røre omkring sig
59003375	lade fem og syv være lige	udvise ligegyldighed eller skødesløshed
59007813	dummere end politiet tillader	alt for dum
59012816	sætte en ny plade på grammofonen	sige eller skrive noget andet end det man har sagt eller skrevet mange gange før
59002149	tage noget på sin kappe	tage ansvaret eller skylden for noget
59012029	kaste et redningsbælte ud til nogen	hjælpe nogen der befinder sig i en vanskelig situation
59013018	have ti tommelfingre	være meget klodset; være fummelfingret
59011751	sætte lus i skindpelsen	skabe splid eller problemer for andre; forsøge at starte en konflikt (mellem andre) for derved at opnå noget selv
59002772	tabe hovedet	blive forvirret; miste besindelsen
59007831	leve på en sten	leve meget nøjsomt
59005417	livet er kort, kunsten er lang	man kan blive udødeliggjort gennem kunsten
59006113	med bred pensel	uden at gå i detaljer
59006803	den blå luft	det rene ingenting
59011593	dreje kniven rundt i såret	gøre en ubehagelig situation værre
59001131	drive nogen i armene på nogen	fremtvinge en (uheldig) alliance mellem to parter
59009180	hyppe sine egne kartofler	pleje sine egne interesser
59007569	smede mens jernet er varmt	udføre en handling når muligheden for et vellykket resultat er til stede
59003031	hurtig i vendingen	hurtig til at handle eller reagere i en situation
59009528	få fingeren ud	skynde sig at komme i gang med noget
59009689	ikke kende nogen landegrænser	spredes eller bevæge sig frit inden for et større område, uafhængigt af grænser
59011729	tjene ind på gyngerne hvad man har mistet på karrusellen	tjene lige så meget på én investering som man mister på en anden
59004559	stå med hatten i hånden	have en ydmyg, fx anmodende, bedende eller tiggende rolle
59005295	græde over spildt mælk	ærgre eller beklage sig over et tab, et uheld eller en uønsket udvikling som ikke kan være anderledes
59002988	historiens vingesus	bruges for at udtrykke en stærk oplevelse af historiens nærvær og betydning ved en bestemt lejlighed, fx ved overværelse af en historisk begivenhed mens den finder sted, eller ved tilstedeværelse dér hvor en sådan begivenhed engang fandt sted
59004102	hellere lille og vågen end stor og doven	det går udmærket an at være lille af vækst når man blot er kvik og energisk
59005457	langt mellem snapsene	få højdepunkter eller interessante begivenheder
59002214	gammel i gårde	som længe har haft en nær tilknytning til fx en bestemt arbejdsplads eller en bestemt gruppe mennesker, og som derfor er særlig fortrolig med forholdene
59002384	ligne udskidt æblegrød	se meget træt og sløj ud
59000114	med hovedet under armen	uden at tænke sig om
59006252	trække store veksler på nogen	stille (for) store krav til nogens velvilje eller hjælp
59005282	ikke lutter lagkage	ikke kun let og behageligt og uden fortrædeligheder; ikke den rene idyl
59011699	føle sig hjemme	være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker
59006426	sætte ræven til at vogte gæs	overlade behandlingen af en sag til nogen der selv har en åbenlys interesse i et bestemt udfald
59010388	frem og tilbage er lige langt	bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser
59011307	mange bække små gør en stor å	mange mindre forekomster, bidrag eller lignende som hver for sig ikke udgør noget særligt, kan tilsammen udgøre noget stort eller på anden måde betydningsfuldt
59008925	gå op i sømmene	bryde psykisk sammen; gå amok
59005041	glat som en ål	undvigende og svær at fastholde i en diskussion; upålidelig
59000594	falde nogen for brystet	virke oprørende eller stødende på nogen; vække nogens modvilje eller betænkelighed
59003623	mele sin egen kage	pleje sine egne interesser uden at tage hensyn til andre; kun tænke på sig selv
59006770	holde nogen til ilden	sørge for at fastholde nogens interesse eller indsats for noget
59012809	gå forkert i byen	tage fejl
59007576	det er ikke raketvidenskab	det er ikke særlig kompliceret, avanceret eller svært at forstå
59004891	kaste nogen for løverne	udsætte nogen for en meget ubehagelig behandling
59006534	spænde ben	lægge hindringer i vejen for noget; gøre noget vanskeligt eller umuligt for nogen
59011846	ikke ane hvilket ben man skal stå på	ikke vide hvordan man skal reagere i en bestemt situation; være stærkt i tvivl om sin holdning til en sag
59003451	slå hånden af nogen	svigte nogen ved fx at afbryde kontakten med vedkommende
59003701	rande under øjnene	hudparti af mørkere farve under øjnene fx pga. træthed
59013038	hellere ville brække en arm på langs end ..	bruges som udtryk for at nogen stiller sig totalt afvisende
59003351	køre sit eget løb	være ligeglad med andre på en uansvarlig måde; ikke bidrage til fællesskabet
59011182	skide grønne grise	være meget bange, nervøs eller lignende
59008629	åbne for sluserne	lade noget flyde frit og voldsomt; give frit løb for noget
59005299	operationen lykkedes, men patienten døde	bruges for at udtrykke at der er blevet brugt mange resurser på at opnå et resultat der ikke er tilfredsstillende eller decideret strider mod det ønskede
59003629	efter alle kunstens regler	på den bedst tænkelige eller mulige måde; så alle tænkelige regler og normer er overholdt
59007724	holde nogen på pinebænken	sætte nogen i en situation hvor vedkommende meget utålmodigt er nødt til at vente på noget, fx at få vished eller få indfriet sine forventninger
59004504	ude på dybt vand	i en usikker, risikofyldt eller vanskelig situation; i knibe
59013025	det skal du længere ud på landet med	bruges for at udtrykke at man ikke tror på det samtalepartneren siger, fordi det er for usandsynligt eller løgnagtigt
59004154	sætte kroner og øre på noget	fastsætte en pris på noget; præcisere et beløb
59004457	ligeved og næsten slår ingen mand af hesten	hvis man har ramt forbi eller lidt nederlag, er det ligegyldigt hvor meget eller lidt man har fejlet
59003974	underskrive sin egen dødsdom	handle således at konsekvenserne for éns eksistens, anseelse eller lignende bliver meget alvorlige
59010199	have et horn i siden på	være vred på; bære nag til
59005297	have flossede kanter	have visse fejl og mangler som ikke tidligere var der
59005657	komme ud af fjerene	(med besvær) stå ud af sin seng om morgenen
59003297	få svesken på disken	meddele noget åbent og uden omsvøb; få sandheden på bordet
59012940	tone rent flag	åbent og ærligt give udtryk for sine holdninger eller hensigter i stedet for at lægge skjul på dem
59007713	drikke nogen under bordet	drikke alkoholiske drikke (om kap) sammen med nogen så denne drikker for meget
59009982	smage som at række tungen ud ad vinduet	ikke smage af noget; være kedelig eller uinteressant i smagen
59011753	sætte kikkerten for det blinde øje	undlade at bemærke eller reagere på noget, fx som udtryk for forsømmelighed, overbærenhed eller for at undgå noget ubehageligt
59010245	vippe af sadlen	fjerne fra en post, en stilling eller lignende
59000874	riste over en sagte ild	udsætte for et langvarigt og ubehageligt pres
59010129	kunne tælles på én hånd	findes i et meget lille antal (fem eller færre)
59011601	sælge sand i Sahara	være meget dygtig til at sælge, især en vare som allerede findes til overflod og derfor ikke er efterspurgt
59001151	lægge kortene på bordet	fremlægge en hidtil hemmeligholdt viden om en sag
59013019	stikke hovedet i busken	lukke øjnene for virkeligheden; undlade at forsøge at løse problemerne
59000625	være nogens forlængede arm	optræde som betroet og loyal repræsentant for en overordnet autoritet
59008079	en streg i regningen	en uventet og uønsket hændelse, handling eller lignende
59002397	ikke født i går	ikke dum eller naiv; ikke uden evner
59004680	hænge ved nogens læber	lytte spændt, opmærksomt og ofte hengivent til nogen
59003695	surt løg	person som man synes er sur, fornærmet, kritisk, snerpet eller lignende
59012465	det rager mig en fjer	det interesserer eller bekymrer mig ikke det mindste
59011931	sætte sig på den høje hest	(begynde at) opføre sig overlegent
59010835	tage noget tungt	ærgre sig over noget eller være ked af noget
59004061	koste en bondegård	koste mange penge; være dyr
59009761	løvens gab	meget farligt eller ubehageligt sted
59006152	nære en slange ved sin barm	være venlig over for eller lave aftaler med nogen som senere opfører sig fjendtligt over for én
59000136	spille med skjulte kort	være hemmelighedsfuld eller uærlig mht. det man foretager sig
59011312	hverken vådt eller tørt	hverken noget drikkeligt eller noget spiseligt
59000428	naturens muntre søn	mand eller dreng med et glad, ukompliceret eller oprindeligt væsen
59000880	en tynd kop te	noget som man synes er overfladisk, uinteressant eller uden vægtigt indhold
59000616	jeg vil æde min hat på ..	bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig
59012617	én gang skal jo være den første	på et eller andet tidspunkt skal man gøre noget som man ikke har gjort før
59003624	trække en kanin op af hatten	gøre noget overraskende, fx komme med en ny og uventet oplysning i en debat for at skabe opmærksomhed
59012823	vide hvordan landet ligger	være klar over den aktuelle situation
59002255	ingen kender dagen før solen går ned	først når dagen er forbi, kan man vide hvad den har bragt
59005327	ikke vide hvor man skal ende og begynde	ikke vide hvordan man skal handle eller komme i gang med noget
59004080	lægge ansigtet i de rette folder	antage en mine som passer til lejligheden
59005454	i sit ansigts sved	under store anstrengelser
59005319	skære nogen i hjertet	gøre nogen ked af det; vække nogens medynk
59004641	en gave fra himlen	en uventet, men yderst kærkommen begivenhed eller hændelse
59011445	klæde sig i sæk og aske	vise tegn på anger eller sorg
59006693	bevæbnet til tænderne	udstyret med mange våben
59005780	have mange bolde i luften	beskæftige sig med mange forskellige ting samtidig
59000622	løbe åbne døre ind	overbevise nogen om noget vedkommende allerede mener; fortsætte en aktivitet efter den ikke længere er relevant; kæmpe en kamp der allerede er vundet
59009730	kvæle i fødslen	hindre eller bekæmpe noget inden det når at udvikle sig
59005336	de tusind søers land	Finland
59004948	slå nogen oven i hovedet med noget	argumentere (voldsomt) mod en andens mening, fx ved at fremhæve sin egen viden eller ved at fremføre indiskutable oplysninger
59006905	sommerfuglestøv på vingerne	uskyldighed; uberørthed
59003608	nogen vender bøtten	forholdet vendes om; noget tager en ny (og modsat) vending eller drejning
59000785	være med på noderne	følge med i hvad der sker i tiden; følge moden
59007906	skille klinten fra hveden	sortere det dårlige fra det gode
59007484	æblet falder ikke langt fra stammen	børn vælger ofte samme levevej eller har samme interesser som deres far eller mor
59002636	tale lige ud af posen	sige noget helt ærligt og uden omsvøb
59000957	slå hovedet på sømmet	være afgørende eller udslagsgivende
59009587	der falder brænde ned	nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse
59007587	rasle med sablen	true med anvendelse af (militære eller politiske) magtmidler
59003447	som en åben bog	uden besvær
59011464	Rom blev ikke bygget på en dag	store projekter er meget tidskrævende
59004562	fange nogen på det forkerte ben	overrumple nogen så vedkommende ikke kan nå at reagere hurtigt og rigtigt
59004848	bide sig selv i halen	være uden løsning fordi løsningen uundgåeligt vil afføde et andet (nært beslægtet) problem
59002380	gå på krum arm	gå tæt omslyngede; være kærester
59003692	jorden brænder under nogen	nogen er i en presset eller faretruende situation
59011725	holde gryden i kog	gøre noget for at holde en interesse eller et engagement ved lige eller en aktivitet i gang
59010863	spille med åbne kort	være åben og ærlig mht. det man foretager sig
59005981	kaste perler for svin	bortødsle noget værdifuldt på nogen der ikke forstår at værdsætte det
59000605	skyde over målet	ikke være rammende i sine udtalelser; overdrive
59011035	der er ikke nogen hjemme	nogen er ikke særlig smart eller intelligent; nogen er (lidt) dum
59010616	holde snuden fra noget	blande sig udenom; holde sig væk fra noget
59006068	verdens tag	meget højtliggende bjergområde, især (land eller område i) Himalaya eller Pamir
59009666	gammel vin på nye flasker	noget allerede velkendt som man ændrer lidt og forsøger at præsentere som noget nyt
59007129	til ingen verdens nytte	overhovedet ikke til nytte; helt overflødigt eller forgæves
59001219	mosekonen brygger	det er tåget
59003840	alle veje fører til Rom	man kan komme frem til et mål på mange måder
59003462	helt nede i kælderen	i en tilstand præget af dårligt humør, sorg, depression eller lignende
59007961	der kom en mand med en slæde i vejen	der dukkede pludselige eller uforudsete forhindringer op
59003865	give faklen videre	overlade et hverv, fx en formands- eller ministerpost
59007147	ved sine fulde fem	i stand til at tænke klart; tilregnelig
59008515	give den en skalle	gøre en kraftig arbejdsindsats
59000848	ikke give ved dørene	ikke være særlig gavmild; ikke lade nogen få noget for nemt
59000559	kunne ligge på et meget lille sted	have et meget begrænset omfang
59004174	en orm gnaver	noget nager én i længere tid
59002094	bide skeer med	have at gøre med; handle eller arbejde sammen med; konkurrere med
59009763	kært barn har mange navne	en person, en ting eller et fænomen som man godt kan lide eller interesserer sig for, har mange betegnelser
59004370	skære ind til benet	reducere omkostningerne til noget mest muligt
59011085	sætte sin hat som man vil	opføre eller udfolde sig uden hensyntagen til gængse normer; gøre som man vil
59004683	være stor i munden	bruge store ord når man taler
59009597	feje for sin egen dør	rette egne fejl og mangler før man blander sig i andres
59002202	skulle bæres ud med fødderne først	først forlade et sted eller holde op med en aktivitet når andre tvinger én dertil, eller når man dør
59005154	en kærlig hånd	bruges i udtryk om at nogen yder eller bør yde en engageret indsats for at hjælpe nogen, for at reparere noget, eller lignende
59000115	rive sig i håret	udtrykke sin fortvivlelse
59012434	hverken fugl eller fisk	hverken det ene eller det andet; ikke tilstrækkelig; ikke anvendelig
59004740	kende noget som sin egen bukselomme	kende noget særdeles godt
59012130	der er ikke noget at rafle om	intet er overladt til tilfældighederne; der er ikke noget at diskutere
59010439	lade falde hvad ikke kan stå	det der ikke kan klare sig eller lade sig gøre, må opgives, kasseres osv.
59002198	ikke lige være nogens nummer	ikke falde i en persons smag
59001865	ikke kunne stikke en pind i en lort uden at ødelægge begge dele	være fummelfingret eller upraktisk anlagt
59001424	blive taget med fingrene i kagedåsen	blive overrasket eller afsløret i at gøre noget ulovligt eller umoralsk
59004107	komme fra et hjem med klaver	komme fra et (velstillet) hjem med kulturelle interesser
59001197	rydde noget af vejen	fjerne eller overvinde et problem, en hindring eller lignende
59010202	stikke hovederne sammen	lægge planer i hemmelighed eller fortrolighed; hviske (bag nogens ryg); træffe aftaler
59003671	have gelé i knæene	være i en ekstrem situation fysisk eller psykisk pga. fx overanstrengelse, nervøsitet eller forventning
59010198	have et ben i hver lejr	have sympati eller interessefællesskab med begge (eller alle) de uenige parter
59013054	være en flue på væggen	diskret eller ubemærket overvære noget
59012561	krumme et hår på nogens hoved	gøre nogen fortræd; genere nogen
59009275	gå på med krum hals	ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave
59003207	en bid af kagen	en andel af noget fordelagtigt, især et økonomisk udbytte
59006350	der er mere mellem himmel og jord	man skal ikke afvise det tilsyneladende uforklarlige blot fordi man ikke kan fatte det med sin begrænsede forstand
59007609	det tager en krig	det tager meget lang tid
59007787	det er ikke mit bord	det er ikke mit område eller ansvar
59007936	ligne noget katten har slæbt ind	se forfærdelig ud
59006251	stikke noget under stolen	skjule, hemmeligholde eller fortie noget
59004858	være godt skåret for tungebåndet	have gode talegaver; kunne tale godt for sig
59011615	have fået det forkerte ben ud af sengen	være i dårligt humør lige fra morgenstunden
59007357	en strid om kejserens skæg	en strid om et spørgsmål der er ligegyldigt eller ikke kan afgøres
59003355	i den bedste af alle verdener	i en (tænkt) situation hvor alle afgørende forhold er så gode som de kan blive
59003613	koge suppe på noget	vedblivende og trættende behandle et velkendt og udtømt emne
