talemaade_udtryk	A	B	C	D
være helt ude i tovene	være fysisk udmattet (pga. hårdt arbejde); være udtømt for kræfter	prøve på at gøre noget som det viser sig man ikke kan gennemføre	befinde sig på en tovbane	være i en meget vanskelig situation som påvirker én psykisk
der er ugler i mosen	bruges som udtryk for at en kvinde er gravid	der er noget galt; der foregår noget fordækt eller foreligger en skjult fare eller vanskelighed	selv den der arbejder i et langsomt tempo, når sit mål	denne mose er levested for ugler (og andre natdyr)
falde på et tørt sted	ramme ned på en tør overflade	gå i stykker; blive ødelagt	være meget tiltrængt og velkommen	vedblivende og trættende behandle et velkendt og udtømt emne
kysten er klar	der er passage et sted hvor der før var lukket	finde ud af hvad man mener om en bestemt sag	kysten er klar til brug	der er ingen hindringer i vejen for at påbegynde en bestemt aktivitet
der gror ikke mos på en rullesten	hvis en sten er i bevægelse, vil der ikke vokse mos på den	personer der lever et aktivt og energisk liv, sygner ikke hen (mentalt)	man kan ikke både skabe en familie og leve et uforpligtende, udsvævende liv	handle til skade for sig selv; ødelægge sine muligheder for fortsat beskæftigelse
ind til benet	vedr. kroppen, især i modsætning til sindet	til det centrale eller væsentlige af noget	få et menneske til at være lettere at omgås idet man sørger for at vedkommende efterhånden tilpasser sig	(helt) ind til knoglen
ligeud ad landevejen	bruges for at udtrykke at ingen overlever et skibsforlis	noget der kan udvikle sig hurtigt (i negativ retning)	kørselsretning uden sving og andre afvigelser fra ligeudkørsel	uden omsvøb; ukompliceret og ligetil
skruen uden ende	teaterstykke eller anden forestilling som man synes er for langt	selvforstærkende uheldig situation som man ikke umiddelbart kan komme ud af	en skrue uden et fladt hoved i den ene ende	ændre til det modsatte eller til noget helt andet
der går inflation i noget	priserne stiger på en specifik vare eller varetype	noget bliver sværere at få fat i	få nogen til at makke ret ved at presse eller true	noget forringes eller mister prestige fordi det bliver lettere tilgængeligt eller mere udbredt
forsvarsparaderne er oppe	nogen er i en trængt og presset situation hvor vedkommende vil forsvare en holdning eller et synspunkt	prøve at drage fordel af en situation hvor der er uro eller forvirring, eller hvor nogen er uenige	tilstand hvor byporten er lukket og vagtposterne holder særligt opsyn	hænderne er oppe foran ansigtet
have store tanker om	tænke meget på	værdsætte, beundre eller have store forventninger til	bruges som udtryk for at nogen stiller sig totalt afvisende	overveje meget nøje inden den endelige beslutning træffes
med pistolen for brystet	i besiddelse af et skjult skydevåben	i en situation hvor man er presset til at gøre noget, ofte under trusler eller med udsigt til et ubehageligt alternativ	bruges som middel for at tilkendegive at man agter at holde et løfte	med et meget forbavset udtryk i ansigtet
få en spand koldt vand i hovedet	bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer	pludselig komme ud af en rus	blive overhældt med koldt vand fra en spand	uventet blive afvist; komme ud for en stor skuffelse
splitte mine bramsejl	bruges som mildt kraftudtryk for at understrege overraskelse, forskrækkelse, fortørnelse eller lignende	dele sine råsejl i over- og underbramsejl	forhindre nogen i at arbejde og tjene penge; gøre nogen arbejdsløs	i raseri ødelægge noget man har skabt
nye koste fejer bedst	nyt er altid bedre end gammelt blot fordi det er nyt	erkende at have lidt et (økonomisk) tab, mistet en mulighed eller lignende	en ny kost fejer bedre end en gammel og slidt kost	unge mennesker er i enhver henseende bedre end ældre
der skal to til tango	reagere vredt eller kritisk på noget ved at skrive et indlæg imod det (især i form af et læserbrev)	to tænker bedre end én	en fælles aktivitet kræver indsats fra begge parter	det kræver to personer at danse dansen tango
store ord og fedt flæsk	charmerende opførsel eller smiger	et godt formål berettiger brugen af mindre fine midler	lange ord og fedtholdigt kød	tom snak eller tomme løfter
tilbage til rødderne	tilbage til en oprindelig tilstand eller situation; tilbage til de (gode og enkle) egenskaber som noget oprindeligt havde	gå hurtigt; skynde sig	ned til en plantes rødder	bruges om den periode om vinteren hvor man i Nordeuropa spiser mange rodfrugter
lyse i kuld og køn	anerkende officielt	undersøge hele kroppen	vække opsigt pga. sine smykker eller fine påklædning	(i tankerne) skjule sig fordi man føler sig pinligt berørt
spille kong Gulerod	lave ballade; lave et stort postyr	følge med i hvad der sker i tiden; følge moden	spille en rolle som karakteren kong Gulerod, fx i et teaterstykke for børn	opføre sig på en indbildsk, overlegen eller arrogant måde
lægge billet ind på noget	rette egne fejl og mangler før man blander sig i andres	købe billet til noget	vise aktiv interesse for (at opnå) noget	øve sig i en færdighed, fx i forbindelse med optræden
fra asken og i ilden	fra en ubehagelig eller uønsket situation til én der er endnu værre	med kendskab til både fortid og nutid	være selvsikker og kompetent	i kontakt med både aske og flammer
har man sagt A, må man også sige B	være så optaget af enkeltdele og detaljer at man ikke kan se helheden	man kan ikke nøjes med at invitere den ene part i et forhold	har man udtalt lyden a er det nødvendigt også at udtale lyden b	er man først begyndt på noget, bør man også fuldføre det
skønne, spildte kræfter	oversete eller spildte chancer og muligheder	bemægtige sig noget, fx penge; få magten over noget	kræfter der energisk og måske selvopofrende er sat ind på en opgave, men senere viser sig at være anvendt forgæves	energi der ikke bliver brugt til noget særligt, men spildt på ligegyldige ting
ål i strømperne	folder i strømper der er gledet ned ad benet	opbevaring af ål i vandtætte bukser med fod (waders)	vittigheder; underholdende påfund	arbejde med eller koncentrere sig om én ting på bekostning af alle andre
ligge med næsen i vejret	ligge på ryggen	melde sig syg på sin arbejdsplads uden at være det	bruge noget som lokkemad over for nogen; stille nogen noget i udsigt	være død og begravet
have knive i ærmerne	være udstyret med skjulte stikvåben -- om en jakke, skjorte eller lignende	nogen er i en trængt og presset situation hvor vedkommende vil forsvare en holdning eller et synspunkt	vente på en lejlighed til at foretage et (uventet) angreb	medbringe noget overraskende eller overrumplende
give bolden op	fralægge sig ansvar	sætte bolden i spil, ved spillets begyndelse eller efter en scoring	opgive at finde en bold man har skudt langt væk	ikke dum eller naiv; ikke uden evner
man kan stille uret efter ham	man kan først stille uret når han er gået	stille for store krav eller forventninger	han er meget enerådig; han tager ikke hensyn til andre menneskers tid	han er yderst præcis
vaske sine hænder	under store anstrengelser	rengøre sine hænder med vand og sæbe	fralægge sig ansvaret i en ubehagelig sag	betale sin gæld helt ud; betale alt hvad man skylder
få fingrene i fedtefadet	få fedtede fingre fordi man berører et beskidt fad	rode sig ud i en vanskelig, ubehagelig eller tvivlsom situation	være afgørende eller udslagsgivende	(uventet) komme i en fordelagtig situation, fx fordi man kender de rette personer
til punkt og prikke	bruges for at udtrykke at to ting ikke kan sammenlignes	helt ud til kanten af noget	meget præcist eller omhyggeligt; fuldstændig	hen til det punktum der står umiddelbart efter
det løber nogen koldt ned ad ryggen	nogen får kuldegysninger pga. stærkt ubehag, angst, bange forudanelser eller lignende	nogen fryser pludselig efter at have haft det varmt	en kold væske løber ned langs nogens ryg	være parat til at bringe et meget stort offer for at opnå noget; brændende ønske sig noget
alle gode gange tre	efter to mislykkede forsøg lykkes det (forhåbentlig) tredje gang	på meget grundig vis; efter gentagne tjek	bruges som udtryk for at der er meget stille	det er bedst at gøre noget tre gange
læsse noget over på nogen	placere et tungt læs på nogen	lokke nogen med til noget som de ikke umiddelbart har lyst til	bebyrde nogen med noget, fx arbejdsopgaver eller bekymringer	begynde at drikke meget alkohol (regelmæssigt); blive alkoholiker
bide nogen i haserne	kysse og kærtegne en person forskellige steder på kroppen, især på arme og ben	se bort fra tidligere uheldige hændelser eller gerninger; begynde på en frisk	bide nogen nederst i benet	komme lige efter nogen; være meget tæt på nogen; presse nogen
dagens mand i skysovs	smørrebrødsservering med bl.a. flæskesteg og sky	person som (for en dag) hyldes som en helt pga. en særlig bedrift	uden besvær	person som smøres ind i sovs, typisk som et festligt indslag ved et svendegilde eller lignende
det er her det sner	her er alt som det plejer	det er her de vigtige eller spændende ting foregår	i en (tænkt) situation hvor alle afgørende forhold er så gode som de kan blive	her er nedbøren oftest sne; her kan man dyrke vintersport
tungen på vægtskålen	en afgørende ingrediens der gør en madret velsmagende	den afgørende stemme ved en afstemning eller lignende	en tunge på en vægtskål	bruges som kommentar hvis noget ikke er blevet til noget, eller nogen ikke har fået opfyldt sine forventninger
smage sin egen medicin	(i en diskussion) blive personlig og dermed rette angreb mod personen frem for at beskæftige sig med dennes argumenter	smage på sin medicin inden man sluger den	smage på sin egen kropsvæske -- fx sæd eller urin	blive udsat for en ubehagelig behandling svarende til den man udsætter andre for
sætte i et dårligt lys	undlade at skabe opmærksomhed; bevirke at noget nedtones eller skjules for andre	omtale negativt; give et dårligt ry	placere noget på et mørkt eller dunkelt sted	være selvudslettende; undlade at gøre opmærksom på sig selv
tage hul på noget	med vilje ødelægge noget som en anden person har fremstillet	begynde på at gøre noget	lave et hul i noget	ved en bevidst handling komme til at skade sig selv
køre af sporet	udvikle sig (ukontrolleret) i en forkert retning; komme i uføre	han er yderst præcis	køre væk fra et spor	snuble og falde idet man bevæger sig (i ujævnt terræn) i naturen
rene ord for pengene	blive vurderet og dernæst forkastet	det bedste af sin art	mulighed for at købe en liste af ord i deres ubøjede form	udtalelse der ikke kan misforstås
is i maven	isterninger i mavesækken	bruges som udtryk for at nogen er blevet afvist af en eller flere personer, fx i en vennegruppe	stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om	ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning
trække noget op af hatten	trække en genstand op af en hat	gøre klar til en aktion eller vanskelig forhandling for at fremme egne interesser eller angribe andres	(på en let og ubesværet måde) bringe noget frem eller præsentere det som noget nyt og overraskende i fx en debat eller en anden sammenhæng	trække tiden ud eller holde nogen hen ved at smalltalke
hvad man ikke ved, har man ikke ondt af	man kan ikke være ked af noget man ikke kender til	nogle gange er løgn den bedste løsning	det er ofte bedre at leve i uvidenhed end at kende den ubehagelige sandhed	opgive ønsket eller drømmen om
ikke lade solen gå ned over sin vrede	ikke gå vred i seng	ikke kunne glemme eller tilgive noget ubehageligt som en anden person har gjort mod én	fremtvinge en (uheldig) alliance mellem to parter	glemme eller tilgive noget man er blevet vred over
ikke den skarpeste kniv i skuffen	være dårlig til at lave mad	give nogen en voldsom irettesættelse; skælde nogen ud	ikke særlig god, klog eller dygtig	ikke den kniv i en skuffe der er skarpest
skyde sig selv i foden	skyde sig i foden for at gøre sig selv ukampdygtig -- historisk	presse sig selv til at løbe hurtigere	ved en bevidst handling komme til at skade sig selv	modstræbende indvillige i noget
våd som en druknet mus	lige så våd som en mus der er druknet	hæder og anerkendelse er vigtigst og går forud for andet	meget svedig; gennemblødt af sved	meget våd; gennemblødt
ikke større end tobak for en skilling	meget lille af vækst eller størrelse	være fummelfingret eller upraktisk anlagt	på størrelse med den mængde tobak man kan købe for en lille sum penge	ligegyldigt; ikke værd at beskæftige sig med
rage kastanjerne ud af ilden	hjælpe sig selv eller en anden ud af en ubehagelig eller vanskelig situation	tage noget ud af ovnen	person, genstand eller lignende der virker fremmed eller malplaceret i en bestemt sammenhæng	fjerne kastanjer fra den ild de er blevet tilberedt over
have kniven på struben	love rigdom, materielle eller andre goder, dog uden at der nødvendigvis er dækning for løfterne	være tæt på at dø; befinde sig i en livstruende situation	være presset til at gøre noget, fx under trusler eller med udsigt til et ubehageligt alternativ	blive truet med en knivsæg placeret mod ens strube
født med en guldske i munden	den person der lægger planer om at narre eller skade en anden, risikerer selv at blive offer for disse planer	blive madet med guldske fra første levedag	være (unødvendigt) forkælet og arrogant over for andre	født i en velhavende familie
det må briste eller bære	de (få) ting man ejer eller har opnået, har større værdi end de (mange) ting som man tror man kan få	det er ikke værd at forsøge idet risikoen for fiasko er for høj	det er uvist om en bestemt konstruktion er tilpas kraftig til det intenderede formål	det må prøves uanset hvordan resultatet bliver
stikke spaden i jorden	påbegynde et (stort) bygge- eller anlægsarbejde	stikke en spade i jorden og begynde at grave	person, genstand eller anden omstændighed der gør nogen ufri eller er til besvær	give op med det man var i gang med
stå med håret ned ad nakken	stå med sit lange hår hængende løst	netop være stået ud af sengen om morgenen efter nattens søvn	komme af sted efter lang tids nølen; langt om længe tage sig sammen	stå modløs og skuffet tilbage; være blevet svigtet eller narret
uden for lands lov og ret	uden for et lands grænser og derfor ikke underlagt dets love	i et øde område fjernt fra større byer	uden de regler der ellers ville gælde	risikere noget, fx penge eller troværdighed, ved at gøre eller sige noget bestemt; tage en chance
ligge og lure i vandskorpen	være nært forestående eller snart bryde løs uden at ret mange venter det	forholdet vendes om; noget tager en ny (og modsat) vending eller drejning	slappe af mens man flyder på ryggen i vandoverfladen, evt. med lukkede øjne	ligge på lur i vandoverfladen
den ene tjeneste er den anden værd	personer der handler ubetænksomt og voldsomt, kommer let til skade	en tjeneste har samme værdi som en anden tjeneste	hvis man gør andre en tjeneste, kan man forvente at de gør gengæld en anden gang	man skal ikke forvente noget igen selvom man har gjort andre en tjeneste
gå hele vejen	fremstille sig selv på en overdrevent positiv måde	være påtrængende og indsmigrende	bevæge sig en given strækning udelukkende til fods	føre en tanke, idé eller aktivitet ud i sin yderste konsekvens
lige så godt springe som krybe i det	det er lige meget om man springer ned i et hul eller kravler ned i det	hellere begynde på noget ubehageligt eller vanskeligt straks og få det overstået end udskyde det	en førhen ukendt opgave kan løses på mange måder	nærme sig afslutningen
ikke fugls føde	vanskelig eller uigennemskuelig opgave, aktivitet ellerlign.	man skal ikke beskylde eller kritisere nogen for noget som man selv (til en vis grad) kan beskyldes eller kritiseres for	føde der ikke indtages af fugle	ingenting; intet som helst
have penge på kistebunden	have kontanter gemt nederst i en kiste (skjult under kistens øvrige indhold)	der er ingen problemer eller fare	have en (stor) opsparet sum penge	have velhavende forældre og dermed være sikret en arv
trykke på pauseknappen	sætte noget på pause ved at trykke på en knap	være midlertidigt væk fra hinanden	man bør holde ting der ikke hører sammen, adskilt	midlertidigt sætte en udvikling i bero
bidt af en gal skuespiller	overordentlig begejstret for skuespil	ikke bryde sig om teater og skuespil	bidt af en psykisk syg skuespiller	bruges om en meget uheldig eller ærgerlig situation
være på benene	være på vej et sted hen til fods	være fredsommelig og utilbøjelig til at gøre noget der kan skade andre	være kommet op at stå; være stået op af sengen	være ude at løbe; løbetræne
det kan du tage gift på	situationen er så alvorlig at selvmord er eneste udvej	bruges for at udtrykke at man er helt sikker i sin sag	bruges til at udtrykke at nogen er uden mening eller forbindelse til virkeligheden	være ligeglad med andre på en uansvarlig måde; ikke bidrage til fællesskabet
få luft under vingerne	man skal ikke beskylde eller kritisere nogen for noget som man selv (til en vis grad) kan beskyldes eller kritiseres for	få mulighed for at udfolde sig frit og selvstændigt eller for at opleve noget nyt og spændende	rejse med fly, helikopter eller lignende	flyve -- om fugle, insekter og andre dyr med vinger
grave grøfter	grave lange render langs med veje	skabe splid og uenighed mellem to parter	det tager meget lang tid	finde andre muligheder når noget ikke synes at lykkes
ramme hovedet på sømmet	ramme sømmet helt rigtigt (med en hammer eller lignende)	udføre en opgave særdeles tilfredsstillende	bruges som kommentar til en meget uheldig eller ærgerlig situation	udtrykke præcist; udtrykke det væsentlige
træde af på naturens vegne	eneste hankønsvæsen i en gruppe eller forsamling	holde sig fra at gå på nysået græs	trække sig tilbage for at forrette sin nødtørft	afholde sig fra materielle goder af miljømæssige hensyn
få noget ud af systemet	slippe af med eller blive fri for en bestemt følelse, tanke, sygdom eller lignende	betale penge tilbage som man har lånt af andre; afdrage på et beløb som man skylder	fjerne noget uønsket fra et system	være meget nervøs, spændt eller bange
ude af øje, ude af sind	en person røber intet	bruges om en situation hvor man undlader at forholde sig til noget ubehageligt	hverken til at se eller vide	det som ikke er synligt eller nærværende, bliver hurtigt glemt
binde på hænder og fødder	gøre fuldstændig afhængig	være ligeglad med noget; ikke bekymre sig om noget	binde hænderne og fødderne sammen	fratage modstanderen muligheden for at kæmpe videre; gøre ukampdygtig
vove det ene øje	risikere noget, fx penge eller troværdighed, ved at gøre eller sige noget bestemt; tage en chance	sagen, foretagendet eller kampen er afsluttet eller afgjort, og det er derfor ikke muligt at påvirke eller ændre på udfaldet	vove at åbne et øje selvom man ikke vil afsløre at man er vågen	lægge sig til at sove selvom det er risikabelt
der bliver ingen bukser ud af det skind	det er kostbart at fremstille skræddersyet tøj	besejre eller få overtaget over	det her skind er uegnet til fremstilling af bukser	den idé, den plan, det forslag eller lignende bliver ikke til noget
for lidt og for meget fordærver alting	man bør ikke overdrive eller gå til yderligheder	kun have tanke for én ting og ikke bekymre sig om andet	man skal krydre maden med måde	både en for stor og en for lille mængde af noget ødelægger et produkt
ét spøg, et andet alvor	man bør holde det morsomme og det alvorlige ved en sag adskilt	bryde helt med sin fortid; afskære sig fra at vende tilbage til noget eller nogen	humoristisk sans betyder ikke det samme for alle men varierer fra person til person	en vittighed og noget alvorligt
ikke ville røre noget med en ildtang	ikke være sart med hvad man rører ved	føle væmmelse ved noget; ønske at undgå kontakt eller engagement	man behøver ikke nødvendigvis gøre som man plejer; denne gang gør vi det på en anden måde	end ikke have lyst til at røre noget med en ildtang man holder i hånden
en pæl i kødet	det er uhyrligt, skandaløst og dybt rystende og kræver øjeblikkelig indgriben	en (medfødt) tilbøjelighed som anses for syndig, men som man ikke kan undslippe	metode til aflivning af overnaturlige væsener af typen vampyr	madret bestående af kødstykker som er stegt på et spyd
sætte skibe i søen	finde og gøre opmærksom på et punkt hvor der er et problem, eller hvor noget eller nogen kan kritiseres	være eller gå i gang med flere ting, fx projekter	bede om afklaring på noget	sætte flere skibe i vandet
få lange arme	strække sine arme ud i fuld længde	have meget ringe evner i forhold til en anden	udvide sit netværk eller sine muligheder for at tjene penge	blive træt i armene af at bære på noget tungt
elefanten i rummet	uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit	en elefant i et rum	stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om	det eneste fælles barn i en sammenbragt familie, der dermed er halvsøster eller halvbror til de øvrige børn
det stille vand har den dybe grund	en pause kan have et rigt indhold	se meget forbløffet ud	et menneske der ikke siger så meget eller ikke gør sig særlig bemærket, kan følelsesmæssigt eller intellektuelt være rigt udviklet	en sø med stillestående vand er ofte meget dyb
føre nogen bag lyset	føre et menneske hen bagved en lyskilde	få noget i rigelig mængde, fx kritik, skældud eller alkohol	få en romantisk relation med nogen; gå i seng med nogen	snyde nogen; lyve for nogen
man skal høre meget før ørerne falder af	det er et voldsomt uvejr med storm og regn eller sne	ørerne kan holde til meget støj; ørerne går ikke i stykker af at lytte (intenst)	bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende	man behøver ikke nødvendigvis at holde op med at larme selvom andre klager over støjen
lytte på vandrørene	undersøge skadede vandrør ved at lytte til vandet der løber igennem	være udenfor i kraftigt regnvejr	lytte til rygter, sladder og uformel snak og på denne baggrund antage noget bestemt	reducere omkostningerne til noget mest muligt
købe katten i sækken	ærgre eller beklage sig over et tab, et uheld eller en uønsket udvikling som ikke kan være anderledes	blive glædeligt overrasket fordi den vare man har købt er af bedre kvalitet end forventet	blive snydt i en handel ved at købe noget ubeset og derefter opdage at det er ringere end forventet	købe og overtage ansvaret for en kat for at undgå at den aflives
tomme tønder buldrer mest	tomme tønder larmer mere end fulde tønder	det er ofte de personer som ved mindst eller har mindst betydning, der råber mest op eller gør sig mest gældende	den første forelskelse opleves ofte som den mest voldsomme	man vurderer folk (bl.a.) ud fra deres påklædning
med skindet på næsen	som har undgået at blive solskoldet i ansigtet, fx ved at gå med hat eller smøre sig ind i solcreme	lige netop klare sig igennem en umiddelbart umulig situation	mennesket har for at leve (lykkeligt) ikke bare brug for mad, men også for oplevelser af mere åndelig karakter	uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit
gå op i en spids	gå meget op i detaljer; lægge stor vægt på detaljer og nuancer, fx i forbindelse med løsningen af et problem	pludselig miste bevidstheden	udvikle sig i en retning hvor ingen løsning er mulig	være udformet på en måde så den del der rager opad, er tynd eller stikkende
der er løbet meget vand gennem åen siden ..	noget der passer godt med nogens ønsker, hensigter eller meninger	børn ændrer sig over tid	udføre underordnet, ensformigt kontorarbejde	meget vand er løbet gennem en å i en specifik tidsperiode
slå til plukfisk	slække på sine ønsker, krav eller principper	udråbe en person til at have den aktive rolle i en leg, fx som den der skal fange de andre i tagfat	tæske, gennembanke; ødelægge, nedbryde	tilberede en spisefisk (fx en torsk) ved at slå på den med en kødhammer
varme nogens ører	bevirke at en person føler sig pinligt berørt	varme nogens ører med hænderne	råde over et (hemmeligt) middel der kan bringe en i en fordelagtig situation	slå nogen (på siden af hovedet)
få kærligheden at føle	have en meget dårlig hukommelse	opleve kærlighed fra en forælder, en partner eller lignende	blive forelsket på et ubelejligt tidspunkt i sit liv	blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter
hvor der handles, der spildes	der spildes det samme sted hvor handlinger finder sted	overforbrug belaster miljøet	situation med skærpet konkurrence eller fjendtlighed mellem to parter	der er altid omkostninger eller tab forbundet med at foretage sig noget
ben i næsen	(være) dygtig, viljestærk og god til at klare sig	mindske ambitionerne eller kravene; sænke standarden	være blevet udsat for grov vold i ansigtet	have knoglevæv i næsen (hvor der burde være brusk)
et plaster på såret	behandling af et sår ved at stoppe blødningen med plaster	der er noget galt; der foregår noget fordækt eller foreligger en skjult fare eller vanskelighed	en (delvis) kompensation for tab, smerte eller lignende	utilstrækkelig hjælp i en livstruende situation
små gryder har også ører	spredes eller bevæge sig frit inden for et større område, uafhængigt af grænser	også børn hører og forstår hvad der bliver sagt omkring dem	små gryder er mere anvendelige i køkkenet end man umiddelbart skulle tro	det er smart at også små gryder har to håndtag
asfaltere mens man kører	handle i sidste øjeblik	lægge asfalt for at skabe den vej man kører ad	tilpasse sig og tage nye beslutninger i en proces hvor vilkårene løbende ændrer sig	aldrig mødes med andre mennesker i selskabeligt lag; være socialt udstødt
være karl for sin hat	optræde selvsikker og kompetent selvom man ikke er det	være en der bruger sin hat meget	hvis man har ramt forbi eller lidt nederlag, er det ligegyldigt hvor meget eller lidt man har fejlet	være selvsikker og kompetent
som en brækket arm	som gør en ked af det; sårende	elendigt; talentløst	udvikle sig i en retning hvor ingen løsning er mulig	nøjagtig lige så smertefuldt som at få et knoglebrud i armen
have et øje på hver finger	være meget opmærksom og agtpågivende, fx i trafikken	gøre noget overraskende, fx komme med en ny og uventet oplysning i en debat for at skabe opmærksomhed	bruges om forældre der har meget at se til i hjemmet	være udstyret med et øje på hver enkelt fingerspids
hvad hjertet er fuldt af, løber munden over med	slå op med en person online og ikke ansigt til ansigt	man kommer nemt til at røbe hvad der optager ens tanker mest	ikke vide med sikkerhed hvordan man er stillet (økonomisk) eller vil blive behandlet i nær fremtid	forelskelse kan medføre at man taler meget
koste spidsen af en jetjager	være overraskende billig	koste det samme som de yderst placerede dele på en jetjager	værdsætte, beundre eller have store forventninger til	være urimelig dyr
man skal rejse sig ved det træ hvor man er faldet	uden støtte og hjælp man klarer ingenting	man skal kæmpe sig op med samme middel som var årsag til at man led nederlag, blev skadet eller lignende	beskæftige sig med mange forskellige ting samtidig	man skal rejse sig der hvor man er faldet
tabe småkagerne	miste forstanden eller besindelsen; gøre eller sige noget dumt	give efter for andres pres; lade sig overtale	tabe nogle småkager på gulvet	meget lang
skille fårene fra bukkene	placere fårene et andet sted end der hvor bukkene opholder sig	skrive en vigtig tanke ned inden den forsvinder	en fælles aktivitet kræver indsats fra begge parter	sortere de(t) gode fra de(t) dårlige
være på den grønne gren	være i begyndelsen af et projekt, et forløb ellerlign.	få tæv	være i en gunstig, privilegeret situation, fx pga. held, flid eller dygtighed	sidde på en gren med friske (grønne) blade
med omvendt fortegn	i en anden toneart end den hidtil anvendte	med det modsatte fortegn, fx i matematisk opgave	en enkelt succes er ingen garanti for fortsat fremgang	karakteriseret ved at være diametralt modsat af noget på forhånd kendt eller netop omtalt
lokke nogen ud af busken	charmere sig ind på nogen	få nogen til at gøre eller sige noget som vedkommende har været tilbageholdende med	det gør ikke så meget; det vil ingen lægge mærke til	lokke et menneske eller et dyr ud fra en busk
hugge en hæl og klippe en tå	samling påbud, regler, forslag, løfter, ideer eller lignende med tilsigtet gennemslagskraft som om de kom fra en højere magt	tilpasse noget (ved grove metoder) for at få det til at passe én selv eller for at få det til at ligge inden for nogle afstukne rammer	anstrenge sig for at nå et mål, fx i sport eller krig	skære en hæl af og klippe en tå af
ikke være til at styre på en hel tønde land	selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld	være meget begejstret, engageret eller ustyrlig, fx i forbindelse med en leg eller en diskussion	ikke have selvkontrol	ikke være til at kontrollere på et specifikt område
man skal ikke give bagerbørn hvedebrød	børn af bagere har (formentlig) fri adgang til hvidt brød	børn af bagere har større risiko for at udvikle glutenallergi	have stor interesse for eller lyst til noget	man skal ikke give nogen noget som vedkommende i forvejen har nok af eller let adgang til
holde kortene tæt til kroppen	holde spillekort på en måde så de er tæt på kroppen	blive/gøre synlig for offentligheden	ikke fortælle hvordan man har det	være tilbageholdende med at give oplysninger i en (kontroversiel) sag
have gode kort på hånden	have en sammensætning af spillekort i hånden der giver gunstige chancer for at vinde et igangværende kortspil	vanskelig at have med at gøre, fx at få til at gøre noget	have gode chancer; være i en fordelagtig situation	være glad for den situation man befinder sig i
hvad er højest, Rundetårn eller et tordenskrald?	bruges for at udtrykke at to ting ikke kan sammenlignes	bruges for at udtrykke at det nogen siger ikke giver mening	bruges for at udtrykke tvivl om hvilken retning man skal gå	udfolde sig energisk, især kropsligt eller seksuelt, i en tidlig fase af et forløb for siden at falde til ro
finde melodien	finde på en melodi til en sangtekst	en strid om et spørgsmål der er ligegyldigt eller ikke kan afgøres	(atter) finde sammen i indbyrdes harmoni; (gen)finde indre glæde, ro, selvtillid eller lignende	fremføre musik og sang for et publikum, evt. i forbindelse med fællessang
have nogen el. noget i kikkerten	det der ikke kan klare sig eller lade sig gøre, må opgives, kasseres osv.	have udset sig nogen eller noget til et bestemt formål, en bestemt opgave eller lignende	se nogen eller noget gennem en kikkert	huske noget (fx en talrække) kortvarigt
gennemgå med en tættekam	rede hår med en tættekam	være på en hård prøve; være i centrum for nærgående opmærksomhed	lede efter noget der er meget småt og derfor svært at finde	gennemgå meget omhyggeligt
fra hestens egen mund	fra en hests mund	der er tegn på eller antydninger af forår	fra en person som man ikke kan stole på; fra en upålidelig kilde	direkte fra en person selv; direkte fra en primær kilde
en sund sjæl i et sundt legeme	en person er både mentalt og fysisk i god form	sundhed kommer indefra	åndelig og legemlig sundhed hænger sammen, og begge dele skal plejes	have praktisk erfaring med landbrugs- eller havearbejde; udføre fysisk krævende arbejde
hverken se til højre eller venstre	kun have tanke for én ting og ikke bekymre sig om andet	se lige ud; undlade at dreje hovedet	ikke lytte til indvendinger og gode råd fra andre	være meget langsom
bo i en kuffert	se på tingene på en ny måde; gøre noget anderledes end sædvanligt	bo på minimal plads og med minimalt forbrug af ressourcer	bruge en kuffert som bolig, evt. for en kortere periode	rejse eller flytte meget tit, fx fordi éns arbejde kræver det; ikke have et fast sted at bo
to sjæle, én tanke	bruges for at udtrykke at nogen mangler kreativitet	nogen tænker på to afdøde personer samtidig	pludselig og uventet opnå noget fordelagtigt; have heldet med sig	bruges når to personer har fået den samme tanke eller idé
hælde benzin på bålet	(forsøge at) forstærke virkningen af noget	hælde benzin (eller anden brændbar væske) på et bål	gøre noget for at holde en interesse eller et engagement ved lige eller en aktivitet i gang	skrue op for bassen
trække tænderne ud	ødelægge noget værdifuldt idet man forkaster eller ændrer noget andet	svække alvorligt; gøre uskadelig	pine sig selv eller andre	fjerne tænder ved udtrækning
ved kasse ét	bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt	mennesket tænker først og fremmest på sin egen fordel når det skal vælge	ved en første, foreløbig bedømmelse	ved kasse nr. 1 (i et supermarked eller lignende)
