talemaade_udtryk,yes_count,option_idx,option_letter,category,definition
ikke kunne se en hånd for sig,2,1,B,concrete misinterpretation,ikke være i stand til at se en hånd lige foran kroppen
man skal kravle før man kan gå,2,2,C,concrete misinterpretation,det er en naturlig del af mennesket udvikling at småbørn lærer at kravle før de kan gå
om smagen kan der ikke diskuteres,2,2,C,concrete misinterpretation,smag opleves forskelligt fra menneske til menneske
lægge alle sine æg i samme kurv,2,1,B,concrete misinterpretation,placere samtlige æg i én kurv
det hører man ikke når musikken spiller,2,1,B,concrete misinterpretation,(visse typer) støj kan overdøves af musik
som at se maling tørre,3,1,B,abstract misinterpretation,bruges for at betegne en meget lang ventetid
som at se maling tørre,3,3,D,concrete misinterpretation,som at observere en nymalet væg gå fra våd til tør
stege i sit eget fedt,2,2,C,concrete misinterpretation,stege et stykke kød i animalsk fedt fra det dyr kødet stammer fra
miraklernes tid er ikke forbi,2,1,B,abstract misinterpretation,der findes ting vi ikke kan forklare rationelt
ride sin kæphest,2,1,B,abstract misinterpretation,dyrke en hobby; beskæftige sig med noget som man finder særligt interessant
en hård nød at knække,2,3,D,concrete misinterpretation,denne nød er svær at ødelægge skallen på
gnide sig op ad nogen,2,1,B,concrete misinterpretation,gnide sin krop op ad en andens krop
en gang til for prins Knud,2,2,C,abstract misinterpretation,bruges for at angive at en person skal betale for endnu en udskænkning til alle på et værtshus eller i en bar
krage søger mage,2,1,B,concrete misinterpretation,en krage leder efter en anden krage som partner
ønske nogen hen hvor peberet gror,2,2,C,concrete misinterpretation,ønske nogen til de steder på kloden hvor der vokser peber
rotterne forlader den synkende skude,2,0,A,abstract misinterpretation,flere personer forlader en situation (fx. et møde eller en fest) pga. opstået uro eller en dårlig stemning
"de gode græd, og de onde lo",2,2,C,concrete misinterpretation,de gode mennesker græder og de onde mennesker ler
for mange kokke fordærver maden,2,0,A,concrete misinterpretation,maden bliver dårlig hvis der er mange om at lave den
trække læsset,2,3,D,concrete misinterpretation,trække (en vogn med) et tungt læs fremad
være grebet ud af luften,2,1,B,abstract misinterpretation,være opstået eller sket pludseligt og uden forvarsel
man må krybe før man kan gå,2,3,D,concrete misinterpretation,man er nødt til at lære at krybe eller kravle før man kan lære at gå
fuglen er fløjet,2,2,C,abstract misinterpretation,en bestemt sag er lukket eller afsluttet
ingen kæde er stærkere end det svageste led,2,1,B,concrete misinterpretation,hvis et led i en kæde er svagt er hele kæden svag
brede sig som ringe i vandet,2,3,D,concrete misinterpretation,danne ringformede mønstre i en vandoverflade
blive slap i knæene,2,2,C,concrete misinterpretation,miste styrke i musklerne omkring knæene
fyre kanonen af,3,2,C,abstract misinterpretation,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende"
fyre kanonen af,3,3,D,concrete misinterpretation,affyre granater eller projektiler fra en kanon
nogens hjerte springer et slag over,3,1,B,concrete misinterpretation,nogens hjerte slår uregelmæssigt og springer slag over der ellers skulle have været der
nogens hjerte springer et slag over,3,2,C,abstract misinterpretation,nogen får en fysisk reaktion på voldsomme følelser
"den der gemmer til natten, gemmer til katten",2,3,D,concrete misinterpretation,gemmer man mad natten over risikerer man at det bliver spist (fx af en huskat)
tage arven op efter nogen,2,2,C,concrete misinterpretation,arve penge eller værdier fordi en nær slægtning dør
ramme på kornet,2,2,C,abstract misinterpretation,passe perfekt ind i en bestemt sammenhæng
smide over bord,2,3,D,concrete misinterpretation,kaste noget ud fra et fartøj og ned i vandet
komme godt fra land,2,3,D,concrete misinterpretation,sejle ud af en havn på fornuftig vis
ofre noget på kærlighedens alter,3,0,A,abstract misinterpretation,"miste noget, fx kontakten til sine venner, i forbindelse med en (ulykkelig) forelskelse"
ofre noget på kærlighedens alter,3,3,D,concrete misinterpretation,ofre noget på et alter og til en guddom man forbinder med kærlighed
en pind til nogens el. nogets ligkiste,2,1,B,abstract misinterpretation,bruges for at erklære sig enig i en negativ holdning til nogen eller noget
krybe i et musehul,3,2,C,concrete misinterpretation,bevæge sig ind i et smalt område
krybe i et musehul,3,3,D,abstract misinterpretation,"gå i seng, især i et mindre rum; lægge sig til at sove et sted med begrænset plads"
slag i bolledejen,2,3,D,abstract misinterpretation,stort postyr og aktivitet udløst af en bagatel
være en spurv i tranedans,2,1,B,abstract misinterpretation,være klodset og uelegant i sine handlinger
vente på at stegte duer skal flyve ind i munden på én,2,3,D,abstract misinterpretation,vente på at andre ordner ens problemer
toppen af isbjerget,3,1,B,abstract misinterpretation,en synlig del af noget der ellers ikke kan ses
toppen af isbjerget,3,2,C,concrete misinterpretation,den del af et isbjerg der befinder sig over havets overflade
hver fugl synger med sit næb,2,3,D,abstract misinterpretation,alle mennesker har en unik stemme
man har et standpunkt til man tager et nyt,2,2,C,concrete misinterpretation,man kan godt ændre mening
være en hund efter noget,2,3,D,abstract misinterpretation,være ophidset og utålmodig
ingen kan tjene to herrer,2,2,C,concrete misinterpretation,man kan ikke arbejde for to chefer samtidig
smile i skægget,2,1,B,abstract misinterpretation,have det roligt og hyggeligt; føre sig godt tilpas
"den der graver en grav for andre, falder selv i den",3,0,A,concrete misinterpretation,før eller siden falder man ned i den grav man har gravet for en anden
"den der graver en grav for andre, falder selv i den",3,3,D,abstract misinterpretation,før eller siden bliver man indhentet af sin fortid
lykken står den kække bi,2,1,B,concrete misinterpretation,en modig person bliver ofte lykkelig
kræve nogens hoved på et fad,2,2,C,concrete misinterpretation,kræve nogens hoved bragt til én på et fad
slå ind på en anden vej,2,0,A,concrete misinterpretation,følge en anden vej end tidligere
"når katten er ude, spiller musene på bordet",2,1,B,abstract misinterpretation,"når der ikke umiddelbart er tegn på fare, kan man godt tillade sig at slappe af"
håbet er lysegrønt,2,2,C,concrete misinterpretation,håb associeres med farven lysegrøn
vende og dreje hver femøre,2,0,A,abstract misinterpretation,være meget nærig; overveje sit pengeforbrug meget nøje
proppe noget ned i halsen på nogen,2,3,D,concrete misinterpretation,(med vold) tvinge en fødevare i en anden person
