talemaade_udtryk,yes_count,option_idx,option_letter,category,definition
himmel og jord står i ét,2,3,D,abstract misinterpretation,bruges om en situation der er stærkt præget af uro og bekymring
ikke kunne se en hånd for sig,2,1,B,concrete misinterpretation,ikke være i stand til at se en hånd lige foran kroppen
man skal kravle før man kan gå,2,2,C,concrete misinterpretation,det er en naturlig del af mennesket udvikling at småbørn lærer at kravle før de kan gå
om smagen kan der ikke diskuteres,2,2,C,concrete misinterpretation,smag opleves forskelligt fra menneske til menneske
lægge alle sine æg i samme kurv,2,1,B,concrete misinterpretation,placere samtlige æg i én kurv
som at se maling tørre,2,3,D,concrete misinterpretation,som at observere en nymalet væg gå fra våd til tør
miraklernes tid er ikke forbi,2,1,B,abstract misinterpretation,der findes ting vi ikke kan forklare rationelt
ride sin kæphest,2,1,B,abstract misinterpretation,dyrke en hobby; beskæftige sig med noget som man finder særligt interessant
gnide sig op ad nogen,2,1,B,concrete misinterpretation,gnide sin krop op ad en andens krop
rønnebærrene er sure,3,0,A,abstract misinterpretation,det er endnu ikke blevet (sen)sommer
rønnebærrene er sure,3,3,D,concrete misinterpretation,en mængde af rønnebær har et højt syreindhold
tro som guld,2,1,B,abstract misinterpretation,meget sikker i sin overbevisning
tælle på knapperne,2,1,B,abstract misinterpretation,forsikre sig om at man har råd
en gang til for prins Knud,2,1,B,concrete misinterpretation,endnu en gang til ære for en prins ved navn Knud
en gang til for prins Knud,2,2,C,abstract misinterpretation,bruges for at angive at en person skal betale for endnu en udskænkning til alle på et værtshus eller i en bar
"de gode græd, og de onde lo",2,2,C,concrete misinterpretation,de gode mennesker græder og de onde mennesker ler
for mange kokke fordærver maden,2,0,A,concrete misinterpretation,maden bliver dårlig hvis der er mange om at lave den
trække læsset,2,3,D,concrete misinterpretation,trække (en vogn med) et tungt læs fremad
være grebet ud af luften,2,1,B,abstract misinterpretation,være opstået eller sket pludseligt og uden forvarsel
have en lille fjer på,2,2,C,abstract misinterpretation,være en anelse utilfreds med nogen eller noget
gå gennem ild og vand,2,0,A,abstract misinterpretation,gennemføre noget der i begyndelsen forekom at være umuligt
erfaren mand er god at gæste,2,2,C,concrete misinterpretation,"en mand der er vant til at få besøg, er også god til at have gæster"
man må krybe før man kan gå,2,3,D,concrete misinterpretation,man er nødt til at lære at krybe eller kravle før man kan lære at gå
fuglen er fløjet,2,2,C,abstract misinterpretation,en bestemt sag er lukket eller afsluttet
oven i hatten,2,2,C,abstract misinterpretation,lagt eller kastet skødesløst og uden hensyn til at noget kan gå i stykker
ingen kæde er stærkere end det svageste led,2,1,B,concrete misinterpretation,hvis et led i en kæde er svagt er hele kæden svag
lade en dør stå på klem,2,2,C,concrete misinterpretation,ikke lukke en dør helt i
uden for pædagogisk rækkevidde,2,2,C,abstract misinterpretation,så besværet at man ikke kan hjælpes med pædagogiske metoder
fyre kanonen af,3,2,C,abstract misinterpretation,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende"
fyre kanonen af,3,3,D,concrete misinterpretation,affyre granater eller projektiler fra en kanon
det muntre køkken,2,1,B,concrete misinterpretation,et køkken hvor der hersker en glad stemning
springe over hvor gærdet er lavest,2,3,D,concrete misinterpretation,springe over et gærde der hvor det rager kortest op fra jorden
nogens hjerte springer et slag over,2,2,C,abstract misinterpretation,nogen får en fysisk reaktion på voldsomme følelser
over hals og hoved,2,3,D,random definition,gøre dybt indtryk; fylde éns bevidsthed helt
"den der gemmer til natten, gemmer til katten",2,3,D,concrete misinterpretation,gemmer man mad natten over risikerer man at det bliver spist (fx af en huskat)
ramme på kornet,2,2,C,abstract misinterpretation,passe perfekt ind i en bestemt sammenhæng
fare i flæsket på,2,1,B,random definition,sikre tegn på en uundgåelig og som regel ugunstig eller farlig udvikling
smide over bord,2,3,D,concrete misinterpretation,kaste noget ud fra et fartøj og ned i vandet
ofre noget på kærlighedens alter,2,0,A,abstract misinterpretation,"miste noget, fx kontakten til sine venner, i forbindelse med en (ulykkelig) forelskelse"
tisse i bukserne for at holde varmen,2,1,B,concrete misinterpretation,forsøge at hæve sin kropstemperatur ved at tisse i bukserne
slag i bolledejen,3,1,B,random definition,"når man ikke vil lytte til andres råd, må man selv bære de ubehagelige konsekvenser"
slag i bolledejen,3,3,D,abstract misinterpretation,stort postyr og aktivitet udløst af en bagatel
være en spurv i tranedans,2,1,B,abstract misinterpretation,være klodset og uelegant i sine handlinger
lukke for det varme vand,2,3,D,concrete misinterpretation,afskære en bolig adgang til varmt vand
sætte til vægs,2,2,C,concrete misinterpretation,placere langs med eller op ad en væg
toppen af isbjerget,2,1,B,abstract misinterpretation,en synlig del af noget der ellers ikke kan ses
hver fugl synger med sit næb,2,3,D,abstract misinterpretation,alle mennesker har en unik stemme
når der er to torsdage i en uge,2,2,C,abstract misinterpretation,når noget har ændret sig radikalt
man har et standpunkt til man tager et nyt,2,2,C,concrete misinterpretation,man kan godt ændre mening
gå over åen efter vand,2,3,D,concrete misinterpretation,krydse en å for at hente vand i den
bide tænderne sammen,2,3,D,concrete misinterpretation,bide sammen så tænderne i overmunden rammer tænderne i undermunden
skulle have noget ind med skeer,2,0,A,concrete misinterpretation,skulle mades med ske
"den der graver en grav for andre, falder selv i den",2,0,A,concrete misinterpretation,før eller siden falder man ned i den grav man har gravet for en anden
lykken står den kække bi,2,1,B,concrete misinterpretation,en modig person bliver ofte lykkelig
slå ind på en anden vej,2,0,A,concrete misinterpretation,følge en anden vej end tidligere
der er løbet meget vand i stranden siden ..,2,2,C,abstract misinterpretation,mennesker ændrer sig over tid
vende og dreje hver femøre,3,0,A,abstract misinterpretation,være meget nærig; overveje sit pengeforbrug meget nøje
vende og dreje hver femøre,3,2,C,concrete misinterpretation,vende og dreje hver mønt man har
til den store guldmedalje,2,0,A,abstract misinterpretation,i rigelige mængder; i overmål
til den store guldmedalje,2,1,B,concrete misinterpretation,en præstation der kvalificerer til en stor medalje af guld
spille på flere heste,2,3,D,concrete misinterpretation,satse penge på flere forskellige heste i et hestevæddeløb
