talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
ikke give ved dørene,2,1,ikke give noget væk til nogen der kommer tilfældigt forbi ens dør,ikke være særlig gavmild; ikke lade nogen få noget for nemt,DISCREPANCY
bide skeer med,0,3,man kan tage det roligt; man behøver ikke at skynde sig så meget,have at gøre med; handle eller arbejde sammen med; konkurrere med,DISCREPANCY
en kærlig hånd,1,0,en hånd placeret på nogen som udtryk for omsorg eller kærlighed,"bruges i udtryk om at nogen yder eller bør yde en engageret indsats for at hjælpe nogen, for at reparere noget, eller lignende",DISCREPANCY
ikke kunne stikke en pind i en lort uden at ødelægge begge dele,3,1,ikke være i stand til at placere en pind i en hundelort uden både pind og hundelort går i stykker,være fummelfingret eller upraktisk anlagt,DISCREPANCY
komme fra et hjem med klaver,1,0,være vokset op i et hjem hvor den ene eller begge forældre spillede klaver,komme fra et (velstillet) hjem med kulturelle interesser,DISCREPANCY
krumme et hår på nogens hoved,0,3,krølle eller bøje et hårstrå der sidder fast på nogens hovedbund,gøre nogen fortræd; genere nogen,DISCREPANCY
ligne noget katten har slæbt ind,0,2,have et udseende tilsvarende noget en kat kunne bringe ind i et hus,se forfærdelig ud,DISCREPANCY
vide hvad klokken er,1,0,være klar over hvad tid på døgnet det er,vide at noget alvorligt eller afgørende er sket; vide hvordan noget vil ende eller udvikle sig,DISCREPANCY
have ild i enden,0,1,tilbage til en oprindelig tilstand eller situation; tilbage til de (gode og enkle) egenskaber som noget oprindeligt havde,fare omkring; være meget foretagsom,DISCREPANCY
give sorteper videre,3,2,give kortet sorteper til en anden spiller som i kortspillet af samme navn er dårligt at sidde med,lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden,DISCREPANCY
råbe vagt i gevær,2,3,råbe advarende ordrer til en militærstyrke,"advare mod en bestemt, farlig eller uheldig udvikling",DISCREPANCY
så slutter festen,2,1,nu er tidspunktet kommet hvor festen er forbi,på dette tidspunkt er det positive eller glædelige forbi,DISCREPANCY
stikke næsen i sky,3,1,sætte sig høje mål; have høje ambitioner,optræde overlegent,DISCREPANCY
have en aktie i,2,3,eje en andel af en virksomhed,være aktiv deltager i; have indflydelse på,DISCREPANCY
apostlenes heste,1,3,bruges i udtryk for at arbejde hårdt,"benene, brugt til at gå på",DISCREPANCY
sejle på varmen,2,0,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne",DISCREPANCY
være som snydt ud af næsen på nogen,3,0,tilstræbe at ligne nogen i både opførsel og udseende,"ligne en anden meget, især mht. udseende",DISCREPANCY
de bredeste skuldre skal bære de tungeste byrder,3,0,de personer der besidder den største muskelkraft bør bære de tungeste ting,"de personer der tjener mest, bør betale mest til dækning af samfundets fælles udgifter",DISCREPANCY
en køn plante,1,0,"person som er smuk, omsorgsfuld, god eller lignende",en uopdragen eller på anden måde ubehagelig person,DISCREPANCY
slibe kanterne af nogen,2,0,hjælpe nogen med at hidse sig ned,få et menneske til at være lettere at omgås idet man sørger for at vedkommende efterhånden tilpasser sig,DISCREPANCY
så let som at klø sig selv i nakken,3,1,uden større anstrengelse end den det kræver at klø sig i nakken,uhyre nemt,DISCREPANCY
til at komme i papirmøllen,1,3,"klar til at blive makuleret, dvs. ødelagt",ubrugelig; kassabel,DISCREPANCY
lugten i bageriet,2,3,den lugt der er i et bageri,"reglerne, forholdene og atmosfæren et bestemt sted",DISCREPANCY
klædt af til skindet,2,0,afklædt; nøgen,uden flere penge eller andre værdier tilbage,DISCREPANCY
have rene hænder,1,0,have hænder der ikke er snavsede,"være uskyldig i forbindelse med en uheldig, kritisabel eller kriminel udvikling eller foreteelse idet man har optrådt ærligt, lovlydigt og ubestikkeligt",DISCREPANCY
have snuden i sporet,0,3,bevæge sig fremad med snuden lige netop løftet over underlaget,ihærdigt og vedholdende arbejde på at nå et mål man har sat sig for,DISCREPANCY
bryde isen,2,3,lave et hul i et isdække,nærme sig hinanden i ord eller handling; gøre stemningen uformel,DISCREPANCY
hovmod står for fald,2,0,"når man er arrogant, kan man nemt falde","en person der er hovmodig, lider let nederlag, ofte pga. sit hovmod",DISCREPANCY
få en appelsin i turbanen,1,2,pludselig skulle have større ansvar for noget end man havde regnet med,pludselig og uventet opnå noget fordelagtigt; have heldet med sig,DISCREPANCY
sagen er bøf,1,2,bruges for at udtrykke at noget ikke længere giver mening,sagen er i orden,DISCREPANCY
have bly i røven,3,1,være øm i endeballernes muskler pga. træning,være meget langsom,DISCREPANCY
som at slå vand på en gås,3,2,som at kaste vand på en gås,uden virkning; forgæves,DISCREPANCY
den sorte klap går ned,1,2,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY
slå op i banen,0,2,ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave,(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre,DISCREPANCY
sidste skud på stammen,1,3,sidste chance for at gøre noget,person eller ting som er resultatet af den seneste udvikling inden for et område,DISCREPANCY
rydde nogen af vejen,1,0,"skubbe nogen eller på anden vis forårsage at nogen kommer væk fra en bestemt vej, bane eller lignende",slå nogen ihjel,DISCREPANCY
kunne høre græsset gro,3,1,med sin hørelse kunne registrere at græs og andre vækster gror,have en meget god hørelse,DISCREPANCY
gå uden om noget som katten om den varme grød,0,1,gå uden om noget på samme måde som en kat der går udenom en skål med varm grød,forholde sig tøvende til en bestemt sag med en blandet følelse af interesse og ubehag,DISCREPANCY
tung at danse med,1,0,underholdende at danse med; dygtig til at danse,"vanskelig at have med at gøre, fx at få til at gøre noget",DISCREPANCY
hammeren falder,2,0,"være psykisk ude af balance af vrede, sorg, nervøsitet, irritation, længsel eller lignende",der sker noget som får afgørende og ofte skæbnesvangre følger,DISCREPANCY
hvor længe var Adam i Paradis,2,3,tidsangivelse svarende til den periode hvor Adam befandt sig i paradisets have,bruges for at udtrykke at en god og lykkelig tilstand desværre kun var kortvarig,DISCREPANCY
være på hælene,2,1,forholde sig afventende i forhold til en sag eller situation,have problemer; være meget træt og nedslidt,DISCREPANCY
blive vejet og fundet for let,3,1,blive vurderet til at være undervægtig,blive vurderet og dernæst forkastet,DISCREPANCY
"man ved hvad man har, men ikke hvad man får",3,0,man kender ikke fremtiden,man kan risikere at forandringer fører til en forværring i stedet for en forbedring,DISCREPANCY
dér ligger hunden begravet,2,0,på dette sted holder en person sig skjult eller uden for offentlighedens søgelys,dér er det egentlige problem,DISCREPANCY
sidde med livet i hænderne,2,3,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange",DISCREPANCY
alt hvad remmer og tøj kan holde,3,2,så hurtigt eller kraftfuldt som man kan gøre det uden at beskadige sit tøj,så hurtigt eller kraftfuldt som muligt,DISCREPANCY
"se sol, måne og stjerner",2,1,"kunne se både Solen, Månen og et udvalg af stjerner på himlen",være i en tilstand af stor nydelse eller stor smerte,DISCREPANCY
finde sine egne ben,2,3,få øje på sine ben,finde ud af hvad man mener om en bestemt sag,DISCREPANCY
slå til søren,1,0,"samfundslivet eller erhvervslivet med den hektiske, opslidende aktivitet som det er forbundet med",bruge (mange) penge,DISCREPANCY
spænde livremmen ind,2,1,stramme sit bælte,spare; indskrænke forbruget,DISCREPANCY
den vej skal vi alle,0,1,bruges for at udpege en vej som alle skal gå på,vi skal alle dø,DISCREPANCY
være over alle bjerge,1,3,godt tilfreds med resultatet af noget,være så langt væk allerede at det er håbløst at optage forfølgelsen,DISCREPANCY
have ordet i sin magt,3,0,bestemme hvad et ord betyder,være dygtig til at formulere sig,DISCREPANCY
der er ingen ko på isen,3,1,der står ingen kreaturer på denne frosne overflade,der er ingen problemer eller fare,DISCREPANCY
i sin visdom,1,0,"uden fornuft, mening eller forbindelse med virkeligheden; helt gal","bruges ofte ironisk for at udtrykke at man mener at nogen har begået en fejl, opført sig tåbeligt eller lignende",DISCREPANCY
save den gren over man selv sidder på,3,0,sidde på en gren man er i færd med at save over,handle til skade for sig selv; ødelægge sine muligheder for fortsat beskæftigelse,DISCREPANCY
træerne vokser ikke ind i himlen,2,1,der er en grænse for hvor høje træer kan blive,en enkelt succes er ingen garanti for fortsat fremgang,DISCREPANCY
have bly i benene,2,0,have ømme muskler i benene pga. træning,have svært ved at bevæge sig pga. træthed eller lignende,DISCREPANCY
som skidt fra en spædekalv,0,3,som afføring fra en nyfødt kalv,hurtigt og i en stor mængde,DISCREPANCY
himmel og jord står i ét,0,1,himmel og jord befinder sig på samme sted,det er et voldsomt uvejr med storm og regn eller sne,DISCREPANCY
tage brødet ud af munden på nogen,2,3,forhindre at nogen får nok mad,forhindre nogen i at arbejde og tjene penge; gøre nogen arbejdsløs,DISCREPANCY
spænde buen for hårdt,3,2,spænde en bue så hårdt at den knækker,stille for store krav eller forventninger,DISCREPANCY
det hører man ikke når musikken spiller,1,0,(visse typer) støj kan overdøves af musik,det gør ikke så meget; det vil ingen lægge mærke til,DISCREPANCY
som at se maling tørre,3,2,som at observere en nymalet væg gå fra våd til tør,bruges især i sammenlignende konstruktioner for at betegne et fænomen eller en aktivitet som meget kedelig,DISCREPANCY
stege i sit eget fedt,0,3,"holde sig til sine egne; være del af en lille, lukket kreds af mennesker",tage de ubehagelige følger af sine handlinger eller udtalelser,DISCREPANCY
bukke begge ender sammen på,1,0,bøje en genstand så enderne mødes,give en omgang tæsk,DISCREPANCY
med det yderste af neglene,3,0,"med neglenes yderste, hvidlige kant",med nød og næppe; kun lige akkurat,DISCREPANCY
ride sin kæphest,1,3,dyrke en hobby; beskæftige sig med noget som man finder særligt interessant,(igen) give udtryk for sin velkendte mening eller tale om et bestemt emne,DISCREPANCY
rønnebærrene er sure,3,2,en mængde af rønnebær har et højt syreindhold,bruges om det at man omtaler noget ellers attraktivt som værdiløst eller ligegyldigt når man ikke selv kan opnå det,DISCREPANCY
"de gode græd, og de onde lo",2,0,de gode mennesker græder og de onde mennesker ler,bruges som ironisk kommentar i en situation hvor man beklager at de gode kræfter led nederlag,DISCREPANCY
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm,DISCREPANCY
spise kirsebær med de store,2,1,spise kirsebær sammen med nogen der er større end en selv,omgås eller konkurrere med sine overmænd,DISCREPANCY
en fis i en hornlygte,2,1,forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft,"opblæst bagatel; flop, fiasko; en gang vrøvl",DISCREPANCY
have en lille fjer på,2,0,være en anelse utilfreds med nogen eller noget,være lidt beruset,DISCREPANCY
surt show,2,3,man skal ikke gøre sig til mere end man er; man skal ikke sætte sig større mål end man kan overkomme,bruges som kommentar til en meget uheldig eller ærgerlig situation,DISCREPANCY
have nogen nede i sækken,2,3,opbevare en person i en sæk,være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander,DISCREPANCY
hælde ned ad brættet,1,3,"tippe et bræt så det der ligger på det, falder ned",afvise fuldstændig,DISCREPANCY
erfaren mand er god at gæste,2,1,"en mand der er vant til at få besøg, er også god til at have gæster",af erfarne folk får man gode råd,DISCREPANCY
man må krybe før man kan gå,3,2,man er nødt til at lære at krybe eller kravle før man kan lære at gå,man bør begynde med simple og elementære opgaver før man giver sig i kast med komplicerede,DISCREPANCY
give nogen horn i panden,1,0,forstyrre nogen selvom de har frabedt sig det,bedrage en mand ved at have et seksuelt forhold til hans kone,DISCREPANCY
fuglen er fløjet,2,1,en bestemt sag er lukket eller afsluttet,"en bestemt (kriminel, eftersøgt) person er forsvundet",DISCREPANCY
oven i hatten,2,0,lagt eller kastet skødesløst og uden hensyn til at noget kan gå i stykker,uden at man har ydet en indsats eller betalt for noget bestemt; som supplement til det man har fået,DISCREPANCY
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY
tab og vind med samme sind,2,0,man skal være ligeglad med om man taber eller vinder,"man bør ikke tage et nederlag for tungt, lige så lidt som man bør hovere over en sejr",DISCREPANCY
lade en dør stå på klem,2,0,ikke lukke en dør helt i,holde en mulighed åben,DISCREPANCY
uden for pædagogisk rækkevidde,2,1,så besværet at man ikke kan hjælpes med pædagogiske metoder,i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én,DISCREPANCY
fyre kanonen af,2,1,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende",skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil,DISCREPANCY
det muntre køkken,1,3,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY
tage arven op efter nogen,2,1,arve penge eller værdier fordi en nær slægtning dør,stå ved sine forpligtelser i forhold til fortid eller oprindelse,DISCREPANCY
det store dyr i åbenbaringen,3,2,en elefant i en religiøs betragtning,"noget som er nyt og anderledes, og som på kort tid har fået stor positiv eller negativ indflydelse inden for et bestemt (fagligt) område",DISCREPANCY
fare i flæsket på,2,0,begynde at spise med stor iver og appetit,komme i håndgemæng eller slåskamp med,DISCREPANCY
smide over bord,3,0,kaste noget ud fra et fartøj og ned i vandet,sætte ud af kraft; kassere,DISCREPANCY
én på torsken,3,0,slal mod hovedet på fisk man netop har fanget,en lussing; et slag i hovedet,DISCREPANCY
sidde klistret til skærmen,3,2,arbejde langvarigt og koncentreret ved en computer,være stærkt optaget af at se fjernsyn,DISCREPANCY
krybe i et musehul,2,1,bevæge sig ind i et smalt område,(i tankerne) skjule sig fordi man føler sig pinligt berørt,DISCREPANCY
kun en tåbe frygter ikke havet,1,2,dumme mennesker er ikke bange for havet,man skal være meget forsigtig når man har med havet at gøre,DISCREPANCY
forslå som en skrædder i helvede,2,0,har samme nytte som en skrædder i en farlig situation,være helt utilstrækkeligt i en bestemt henseende,DISCREPANCY
have fat i den lange ende,3,0,"have fat i den længste ende af noget, fx et tov",være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige,DISCREPANCY
tisse i bukserne for at holde varmen,1,2,forsøge at hæve sin kropstemperatur ved at tisse i bukserne,"gøre noget der hjælper på kort sigt, men forværrer tingene på langt sigt",DISCREPANCY
vælte læsset,3,2,endelig begynde på en besværlig opgave,forhindre noget i at lykkes; ødelægge noget,DISCREPANCY
slag i bolledejen,1,2,"når man ikke vil lytte til andres råd, må man selv bære de ubehagelige konsekvenser","energisk, utraditionel og undertiden provokerende fremgangsmåde, handling eller lignende",DISCREPANCY
lukke for det varme vand,2,0,afslutte en romantisk relation,ikke ville yde mere af noget,DISCREPANCY
hu hej vilde dyr,3,0,"ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.","bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY
"det er mig, sagde hunden",2,1,"en hund udtalte ordene ""det er mig""",bruges som bagatelliserende udtryk når man nævner sig selv i en sammenhæng hvor også andre indgår,DISCREPANCY
gå op i hat og briller,3,0,være (overdrevent) forfængelig og gå op i især makeup og accessories,"udvikle sig i en utilsigtet, ofte løssluppen eller komisk retning",DISCREPANCY
håbet er lysegrønt,2,0,håb associeres med farven lysegrøn,det er menneskets natur at bevare optimismen og se det positive,DISCREPANCY
vende og dreje hver femøre,2,3,vende og dreje hver mønt man har,være meget sparsommelig,DISCREPANCY
tale for sin syge moster,3,1,tale på en måde der er komplet uforståelig for andre; vrøvle,"snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende",DISCREPANCY
til den store guldmedalje,1,3,en præstation der kvalificerer til en stor medalje af guld,"energisk, dygtigt eller med held",DISCREPANCY
stampe op af jorden,1,3,stampe med fødderne rundt om en genstand så den lidt efter lidt slipper jordunderlaget,"skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser",DISCREPANCY
