talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
give den en skalle,3,2,ramme noget med toppen af hovedet,gøre en kraftig arbejdsindsats,DISCREPANCY
ikke give ved dørene,2,1,ikke give noget væk til nogen der kommer tilfældigt forbi ens dør,ikke være særlig gavmild; ikke lade nogen få noget for nemt,DISCREPANCY
kunne ligge på et meget lille sted,1,2,være tilstrækkelig lille til at befinde sig på et lille afgrænset område,have et meget begrænset omfang,DISCREPANCY
bide skeer med,0,3,man kan tage det roligt; man behøver ikke at skynde sig så meget,have at gøre med; handle eller arbejde sammen med; konkurrere med,DISCREPANCY
skære ind til benet,3,0,skille kød fra en knogle med en kniv,reducere omkostningerne til noget mest muligt,DISCREPANCY
en kærlig hånd,1,0,en hånd placeret på nogen som udtryk for omsorg eller kærlighed,"bruges i udtryk om at nogen yder eller bør yde en engageret indsats for at hjælpe nogen, for at reparere noget, eller lignende",DISCREPANCY
ikke kunne stikke en pind i en lort uden at ødelægge begge dele,3,1,ikke være i stand til at placere en pind i en hundelort uden både pind og hundelort går i stykker,være fummelfingret eller upraktisk anlagt,DISCREPANCY
stikke hovederne sammen,1,2,forsøge at blive enige igen efter en diskussion eller et skænderi,lægge planer i hemmelighed eller fortrolighed; hviske (bag nogens ryg); træffe aftaler,DISCREPANCY
ligne noget katten har slæbt ind,0,2,have et udseende tilsvarende noget en kat kunne bringe ind i et hus,se forfærdelig ud,DISCREPANCY
koge suppe på noget,0,1,lave en (sladder)historie ud af noget småt eller betydningsløst,vedblivende og trættende behandle et velkendt og udtømt emne,DISCREPANCY
vide hvad klokken er,1,0,være klar over hvad tid på døgnet det er,vide at noget alvorligt eller afgørende er sket; vide hvordan noget vil ende eller udvikle sig,DISCREPANCY
have ild i enden,0,1,tilbage til en oprindelig tilstand eller situation; tilbage til de (gode og enkle) egenskaber som noget oprindeligt havde,fare omkring; være meget foretagsom,DISCREPANCY
"ikke alt der glimter, er guld",1,3,"blot fordi noget glimter, er det ikke ensbetydende med at det er fremstillet af guld","blot fordi noget ser ud til at være fint og værdifuldt, er det ikke ensbetydende med at det er det",DISCREPANCY
give sorteper videre,3,2,give kortet sorteper til en anden spiller som i kortspillet af samme navn er dårligt at sidde med,lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden,DISCREPANCY
have rent mel i posen,2,1,intet er så godt eller smukt at det er helt fri for fejl eller ulemper,ikke have noget at skjule; være uskyldig,DISCREPANCY
koge suppe på en pølsepind,0,1,(forsøge at) lave suppe ud af meget lidt,beskæftige sig med eller behandle et ubetydeligt eller overflødigt emne,DISCREPANCY
så slutter festen,2,1,nu er tidspunktet kommet hvor festen er forbi,på dette tidspunkt er det positive eller glædelige forbi,DISCREPANCY
stikke næsen i sky,0,1,rette næsen opad mod himlen,optræde overlegent,DISCREPANCY
have en aktie i,2,3,eje en andel af en virksomhed,være aktiv deltager i; have indflydelse på,DISCREPANCY
træde op på den store klinge,0,3,komme i håndgemæng eller slåskamp med,anstrenge sig; arbejde hårdt,DISCREPANCY
apostlenes heste,0,3,heste som apostlene red på,"benene, brugt til at gå på",DISCREPANCY
de bredeste skuldre skal bære de tungeste byrder,1,0,"man skal hjælpe hvor man kan, uanset hvad man har at bidrage med","de personer der tjener mest, bør betale mest til dækning af samfundets fælles udgifter",DISCREPANCY
en køn plante,1,0,"person som er smuk, omsorgsfuld, god eller lignende",en uopdragen eller på anden måde ubehagelig person,DISCREPANCY
"når man taler om solen, så skinner den",0,1,solen skinner altid når man taler om den,"bruges for at udtrykke glad overraskelse når nogen man netop har talt om, uventet indfinder sig",DISCREPANCY
til at komme i papirmøllen,1,3,"klar til at blive makuleret, dvs. ødelagt",ubrugelig; kassabel,DISCREPANCY
I må kalde mig Mads hvis ..,0,2,i særlige situationer må I kalde mig Mads,bruges som forsikring om at noget er eller vil vise sig at være usandt,DISCREPANCY
klædt af til skindet,2,0,afklædt; nøgen,uden flere penge eller andre værdier tilbage,DISCREPANCY
bryde isen,2,3,lave et hul i et isdække,nærme sig hinanden i ord eller handling; gøre stemningen uformel,DISCREPANCY
stærk tobak,0,1,tobak med et højt indhold af nikotin,"noget der er forargeligt, urimeligt, provokerende eller på anden måde gør stærkt indtryk",DISCREPANCY
hovmod står for fald,2,0,"når man er arrogant, kan man nemt falde","en person der er hovmodig, lider let nederlag, ofte pga. sit hovmod",DISCREPANCY
tage noget i stiv arm,1,3,acceptere såvel de ubehagelige som de behagelige sider ved en sag,bære modgang med styrke og sindsro,DISCREPANCY
have bly i røven,2,1,have bly indlagt i ballerne,være meget langsom,DISCREPANCY
læse noget som Fanden læser Bibelen,1,2,læse noget på samme måde som en ikketroende person læser en religiøs tekst,læse noget med dårlig forståelse; udlægge noget til egen fordel uden at der er belæg for det,DISCREPANCY
skumme fløden,2,1,spise en ekstra portion af noget,"tage fordelene eller det bedste ved noget, ofte på andres bekostning og uden at gøre sig fortjent til det",DISCREPANCY
den sorte klap går ned,3,2,situation hvor en sort klap bevæger sig i nedadgående retning,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY
slå op i banen,0,2,ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave,(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre,DISCREPANCY
tage benene på nakken,3,2,selvforskyldt komme i en fastlåst eller håbløs situation,løbe (hurtigt) væk; stikke af; flygte,DISCREPANCY
rydde nogen af vejen,1,0,"skubbe nogen eller på anden vis forårsage at nogen kommer væk fra en bestemt vej, bane eller lignende",slå nogen ihjel,DISCREPANCY
kunne høre græsset gro,3,1,med sin hørelse kunne registrere at græs og andre vækster gror,have en meget god hørelse,DISCREPANCY
vandene skilles,2,0,nogen går fra hinanden; nogen bliver skilt,meningerne bliver forskellige (pga. noget); der opstår uenighed (pga. noget),DISCREPANCY
gå uden om noget som katten om den varme grød,0,1,gå uden om noget på samme måde som en kat der går udenom en skål med varm grød,forholde sig tøvende til en bestemt sag med en blandet følelse af interesse og ubehag,DISCREPANCY
føre til torvs,3,1,fragte en vare til det torv hvor den skal sælges,gøre bekendt i en større kreds; offentliggøre,DISCREPANCY
være på hælene,2,1,forholde sig afventende i forhold til en sag eller situation,have problemer; være meget træt og nedslidt,DISCREPANCY
hænge nogen langt ud af halsen,1,2,være uappetitligt,være uudholdeligt fordi man er træt af det,DISCREPANCY
"man ved hvad man har, men ikke hvad man får",3,0,man kender ikke fremtiden,man kan risikere at forandringer fører til en forværring i stedet for en forbedring,DISCREPANCY
dér ligger hunden begravet,2,0,på dette sted holder en person sig skjult eller uden for offentlighedens søgelys,dér er det egentlige problem,DISCREPANCY
sidde med livet i hænderne,2,3,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange",DISCREPANCY
alt hvad remmer og tøj kan holde,3,2,så hurtigt eller kraftfuldt som man kan gøre det uden at beskadige sit tøj,så hurtigt eller kraftfuldt som muligt,DISCREPANCY
"se sol, måne og stjerner",2,1,"kunne se både Solen, Månen og et udvalg af stjerner på himlen",være i en tilstand af stor nydelse eller stor smerte,DISCREPANCY
have foden under eget bord,0,2,have styr på sin økonomi,have sit eget hjem eller sin egen virksomhed,DISCREPANCY
finde sine egne ben,0,3,gøre noget mere besværligt end man behøver; udføre unødvendigt arbejde,finde ud af hvad man mener om en bestemt sag,DISCREPANCY
slag i ansigtet,2,0,et slag i nogens ansigt,krænkelse; nederlag,DISCREPANCY
slå til søren,2,0,deltage i et slagsmål mellem to eller flere personer,bruge (mange) penge,DISCREPANCY
spænde livremmen ind,2,1,stramme sit bælte,spare; indskrænke forbruget,DISCREPANCY
den vej skal vi alle,2,1,bruges for at gøre opmærksom på at nogen har konstateret noget åbenlyst,vi skal alle dø,DISCREPANCY
på éns glatte ansigt,0,3,baseret på udseende og ydre fremtoning; uden at tage højde for indre liv,med et tillidvækkende ydre som eneste garanti,DISCREPANCY
gå op i limningen,1,2,blive ødelagt det sted hvor noget er limet sammen,bryde sammen fysisk eller psykisk; ophøre (med at eksistere),DISCREPANCY
plejer er død,2,1,"have udset sig nogen eller noget til et bestemt formål, en bestemt opgave eller lignende",man behøver ikke nødvendigvis gøre som man plejer; denne gang gør vi det på en anden måde,DISCREPANCY
save den gren over man selv sidder på,3,0,sidde på en gren man er i færd med at save over,handle til skade for sig selv; ødelægge sine muligheder for fortsat beskæftigelse,DISCREPANCY
slikke frimærker,0,1,slikke på bagsiden af frimærker,"udføre underordnet, ensformigt kontorarbejde",DISCREPANCY
træerne vokser ikke ind i himlen,2,1,der er en grænse for hvor høje træer kan blive,en enkelt succes er ingen garanti for fortsat fremgang,DISCREPANCY
rive hovedet af nogen,0,1,adskille nogens hoved fra vedkommendes krop,give nogen en voldsom irettesættelse; skælde nogen ud,DISCREPANCY
som skidt fra en spædekalv,0,3,som afføring fra en nyfødt kalv,hurtigt og i en stor mængde,DISCREPANCY
himmel og jord står i ét,3,1,bruges om en situation der er stærkt præget af uro og bekymring,det er et voldsomt uvejr med storm og regn eller sne,DISCREPANCY
tage brødet ud af munden på nogen,2,3,forhindre at nogen får nok mad,forhindre nogen i at arbejde og tjene penge; gøre nogen arbejdsløs,DISCREPANCY
om smagen kan der ikke diskuteres,2,1,smag opleves forskelligt fra menneske til menneske,det er nytteløst at forsøge at nå til enighed om noget der grundlæggende er et spørgsmål om hvad den enkelte foretrækker,DISCREPANCY
have nerverne uden på tøjet,0,1,"være energisk, opmærksom og opsat på at yde sit bedste",være synligt nervøs,DISCREPANCY
have bukserne på,3,1,være iført et bestemt par bukser,være den der bestemmer; være den dominerende part,DISCREPANCY
fare i blækhuset,0,2,(på en let og ubesværet måde) bringe noget frem eller præsentere det som noget nyt og overraskende i fx en debat eller en anden sammenhæng,reagere vredt eller kritisk på noget ved at skrive et indlæg imod det (især i form af et læserbrev),DISCREPANCY
sur røv,0,1,snavset bagdel,bruges om en meget uheldig eller ærgerlig situation,DISCREPANCY
det hører man ikke når musikken spiller,1,0,(visse typer) støj kan overdøves af musik,det gør ikke så meget; det vil ingen lægge mærke til,DISCREPANCY
som at se maling tørre,1,2,bruges for at betegne en meget lang ventetid,bruges især i sammenlignende konstruktioner for at betegne et fænomen eller en aktivitet som meget kedelig,DISCREPANCY
en storm i et glas vand,0,1,bruges for at udtrykke at en god og lykkelig tilstand desværre kun var kortvarig,voldsomt røre pga. en bagatel,DISCREPANCY
stege i sit eget fedt,0,3,"holde sig til sine egne; være del af en lille, lukket kreds af mennesker",tage de ubehagelige følger af sine handlinger eller udtalelser,DISCREPANCY
bukke begge ender sammen på,1,0,bøje en genstand så enderne mødes,give en omgang tæsk,DISCREPANCY
ride sin kæphest,1,3,dyrke en hobby; beskæftige sig med noget som man finder særligt interessant,(igen) give udtryk for sin velkendte mening eller tale om et bestemt emne,DISCREPANCY
man kan også købe guld for dyrt,2,0,det er ikke besværet værd,"det at blive velhavende kan have for store menneskelige omkostninger, fx tabet af væsentlige åndelige værdier",DISCREPANCY
tro som guld,1,2,meget sikker i sin overbevisning,meget trofast,DISCREPANCY
en gang til for prins Knud,1,0,endnu en gang til ære for en prins ved navn Knud,bruges når man gentager noget eller siger det ekstra tydeligt fordi samtalepartneren er lidt tungt opfattende,DISCREPANCY
så god som dagen er lang,1,3,lige så god som længden på en dag,ualmindelig sød og rar,DISCREPANCY
"de gode græd, og de onde lo",2,0,de gode mennesker græder og de onde mennesker ler,bruges som ironisk kommentar i en situation hvor man beklager at de gode kræfter led nederlag,DISCREPANCY
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm,DISCREPANCY
have en lille fjer på,3,0,"have en lille fjer (på sit tøj, sin hat eller lignende)",være lidt beruset,DISCREPANCY
veje sine ord på en guldvægt,1,3,"være sikker på at det man har skrevet, er korrekt",tænke nøje over hvordan man formulerer sig,DISCREPANCY
have nogen nede i sækken,1,3,få ret i en meningsudveksling eller diskussion,være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander,DISCREPANCY
gå gennem ild og vand,0,1,gennemføre noget der i begyndelsen forekom at være umuligt,gøre alt hvad der står i ens magt,DISCREPANCY
hælde ned ad brættet,1,3,"tippe et bræt så det der ligger på det, falder ned",afvise fuldstændig,DISCREPANCY
give nogen horn i panden,2,0,placere horn i panden på nogen,bedrage en mand ved at have et seksuelt forhold til hans kone,DISCREPANCY
fuglen er fløjet,2,1,en bestemt sag er lukket eller afsluttet,"en bestemt (kriminel, eftersøgt) person er forsvundet",DISCREPANCY
jokke i spinaten,1,3,træde i en hunds ekskrementer,utilsigtet sige eller gøre noget dumt,DISCREPANCY
oven i hatten,3,0,beskrive præcist og rammende; ramme et ømt punkt hos nogen,uden at man har ydet en indsats eller betalt for noget bestemt; som supplement til det man har fået,DISCREPANCY
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY
blive slap i knæene,2,1,miste styrke i musklerne omkring knæene,"blive svag og eftergivende; blive overvældet af en følelse af ømhed, forelskelse eller lignende",DISCREPANCY
lade en dør stå på klem,2,0,ikke lukke en dør helt i,holde en mulighed åben,DISCREPANCY
ikke kunne høre hvad man selv tænker,2,1,ikke kunne følge eller huske sine egne tanker,være omgivet af larm eller højrøstet snak så man ikke kan koncentrere sig,DISCREPANCY
uden for pædagogisk rækkevidde,2,1,så besværet at man ikke kan hjælpes med pædagogiske metoder,i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én,DISCREPANCY
fyre kanonen af,3,1,affyre granater eller projektiler fra en kanon,skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil,DISCREPANCY
det muntre køkken,1,3,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY
springe over hvor gærdet er lavest,0,2,(med fornuft og overvejelse) finde frem til den bedste løsning,anstrenge sig mindst muligt for at opnå noget; vælge den nemmeste løsning,DISCREPANCY
slå sig på flasken,0,2,vokse op i et hjem hvor den ene eller begge forældre indtager for meget alkohol,begynde at drikke meget alkohol (regelmæssigt); blive alkoholiker,DISCREPANCY
"mens græsset gror, dør horsemor",3,1,noget må slutte før noget andet kan begynde,noget tager så lang tid at man ikke når det mål man har sat sig,DISCREPANCY
det store dyr i åbenbaringen,3,2,en elefant i en religiøs betragtning,"noget som er nyt og anderledes, og som på kort tid har fået stor positiv eller negativ indflydelse inden for et bestemt (fagligt) område",DISCREPANCY
ramme på kornet,2,1,passe perfekt ind i en bestemt sammenhæng,beskrive præcist og rammende; ramme et ømt punkt hos nogen,DISCREPANCY
fare i flæsket på,2,0,begynde at spise med stor iver og appetit,komme i håndgemæng eller slåskamp med,DISCREPANCY
smide over bord,3,0,kaste noget ud fra et fartøj og ned i vandet,sætte ud af kraft; kassere,DISCREPANCY
en pind til nogens el. nogets ligkiste,2,3,en del af det træ der udgør den kiste man begraver nogen eller noget i,"en medvirkende årsag til en (uheldig, ulykkelig eller uønsket) afslutning på et forløb, en karriere eller lignende",DISCREPANCY
sidde klistret til skærmen,3,2,arbejde langvarigt og koncentreret ved en computer,være stærkt optaget af at se fjernsyn,DISCREPANCY
kun en tåbe frygter ikke havet,1,2,dumme mennesker er ikke bange for havet,man skal være meget forsigtig når man har med havet at gøre,DISCREPANCY
hvis og hvis min røv var spids,0,1,bruges til at udtrykke at man føler væmmelse ved nogen eller noget,bruges for at afvise samtalepartnerens forbehold og bekymrede forestillinger om fremtiden,DISCREPANCY
stille sig på bagbenene,1,3,kun have vægten på de to bagerste ben -- om et dyr med fire ben,være modvillig eller genstridig; (prøve at) forhindre noget,DISCREPANCY
være en spurv i tranedans,2,3,bruges for at udtrykke at en spurv har forvildet sig ind i en gruppe traner,ikke være så fornem som de andre; deltage i noget man ikke er egnet til,DISCREPANCY
hu hej vilde dyr,2,0,bruges som advarsel mod faretruende dyr,"bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY
toppen af isbjerget,1,3,en synlig del af noget der ellers ikke kan ses,"en lille del af noget meget større, ofte noget ubehageligt",DISCREPANCY
kunne bide tungen af sig selv,3,2,både have skarpe tænder og så utilstrækkelig kontrol over sine bevægelser at det er muligt at bide tungen af sig selv,fortryde at have sagt en bestemt bemærkning,DISCREPANCY
gå over åen efter vand,3,2,krydse en å for at hente vand i den,gøre noget mere besværligt end man behøver; udføre unødvendigt arbejde,DISCREPANCY
smile i skægget,1,3,have det roligt og hyggeligt; føre sig godt tilpas,more sig på en underfundig eller skadefro måde,DISCREPANCY
"den der graver en grav for andre, falder selv i den",0,2,før eller siden falder man ned i den grav man har gravet for en anden,"den person der lægger planer om at narre eller skade en anden, risikerer selv at blive offer for disse planer",DISCREPANCY
støbe kuglerne,2,3,fremstille ammunition til skydevåben,"være den der udtænker, planlægger og styrer udførelsen af en idé",DISCREPANCY
have krudt i røven,1,3,gå med pistol eller gevær; være bevæbnet,fare omkring; være meget foretagsom,DISCREPANCY
slå til skaglerne,1,3,skubbe til noget så det vælter,slå sig løs og more sig,DISCREPANCY
håbet er lysegrønt,2,0,håb associeres med farven lysegrøn,det er menneskets natur at bevare optimismen og se det positive,DISCREPANCY
vende og dreje hver femøre,0,3,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY
tale for sin syge moster,3,1,tale på en måde der er komplet uforståelig for andre; vrøvle,"snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende",DISCREPANCY
til den store guldmedalje,1,3,en præstation der kvalificerer til en stor medalje af guld,"energisk, dygtigt eller med held",DISCREPANCY
stampe op af jorden,0,3,overhovedet ikke tro på hvad nogen siger,"skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser",DISCREPANCY
ikke syv vilde heste kan ..,1,3,færre end man skulle tro kan ..,absolut intet kan ..,DISCREPANCY
bære kappen på begge skuldre,2,1,vægte traditioner højt; være traditionel i holdninger og væremåde,"holde sig gode venner med begge parter i en strid; udvise en tvetydig, upålidelig holdning",DISCREPANCY
