talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
fare i flæsket på,2,0,begynde at spise med stor iver og appetit,komme i håndgemæng eller slåskamp med,DISCREPANCY
smide over bord,3,0,kaste noget ud fra et fartøj og ned i vandet,sætte ud af kraft; kassere,DISCREPANCY
gribe i egen barm,0,3,tage sig til brystet,erkende egne fejl inden man påtaler andres; være selvkritisk,DISCREPANCY
én på torsken,3,0,slal mod hovedet på fisk man netop har fanget,en lussing; et slag i hovedet,DISCREPANCY
kun en tåbe frygter ikke havet,1,2,dumme mennesker er ikke bange for havet,man skal være meget forsigtig når man har med havet at gøre,DISCREPANCY
have fat i den lange ende,3,0,"have fat i den længste ende af noget, fx et tov",være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige,DISCREPANCY
tage nogen ved vingebenet,0,2,man bør begynde med simple og elementære opgaver før man giver sig i kast med komplicerede,give nogen en kraftig irettesættelse; udsætte nogen for stærk kritik,DISCREPANCY
hu hej vilde dyr,3,0,"ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.","bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY
gå op i hat og briller,3,0,være (overdrevent) forfængelig og gå op i især makeup og accessories,"udvikle sig i en utilsigtet, ofte løssluppen eller komisk retning",DISCREPANCY
støbe kuglerne,2,3,fremstille ammunition til skydevåben,"være den der udtænker, planlægger og styrer udførelsen af en idé",DISCREPANCY
have krudt i røven,2,3,være klar over den aktuelle situation,fare omkring; være meget foretagsom,DISCREPANCY
håbet er lysegrønt,2,0,håb associeres med farven lysegrøn,det er menneskets natur at bevare optimismen og se det positive,DISCREPANCY
vende og dreje hver femøre,0,3,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY
tale for sin syge moster,2,1,fortælle (for) detaljeret om et familiemedlems sygdomsforløb,"snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende",DISCREPANCY
til den store guldmedalje,1,3,en præstation der kvalificerer til en stor medalje af guld,"energisk, dygtigt eller med held",DISCREPANCY
stampe op af jorden,1,3,stampe med fødderne rundt om en genstand så den lidt efter lidt slipper jordunderlaget,"skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser",DISCREPANCY
