talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
"mens græsset gror, dør horsemor",3,1,noget må slutte før noget andet kan begynde,noget tager så lang tid at man ikke når det mål man har sat sig,DISCREPANCY
det store dyr i åbenbaringen,0,2,bruges for at udtrykke når nogen eller noget er af markant bedre kvalitet end andet,"noget som er nyt og anderledes, og som på kort tid har fået stor positiv eller negativ indflydelse inden for et bestemt (fagligt) område",DISCREPANCY
fare i flæsket på,2,0,begynde at spise med stor iver og appetit,komme i håndgemæng eller slåskamp med,DISCREPANCY
smide over bord,3,0,kaste noget ud fra et fartøj og ned i vandet,sætte ud af kraft; kassere,DISCREPANCY
kun en tåbe frygter ikke havet,1,2,dumme mennesker er ikke bange for havet,man skal være meget forsigtig når man har med havet at gøre,DISCREPANCY
tage nogen ved vingebenet,0,2,man bør begynde med simple og elementære opgaver før man giver sig i kast med komplicerede,give nogen en kraftig irettesættelse; udsætte nogen for stærk kritik,DISCREPANCY
stille sig på bagbenene,2,3,(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre,være modvillig eller genstridig; (prøve at) forhindre noget,DISCREPANCY
hu hej vilde dyr,3,0,"ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.","bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY
toppen af isbjerget,1,3,en synlig del af noget der ellers ikke kan ses,"en lille del af noget meget større, ofte noget ubehageligt",DISCREPANCY
kunne bide tungen af sig selv,1,2,kunne tvinge sig selv til at gøre noget ubehageligt,fortryde at have sagt en bestemt bemærkning,DISCREPANCY
gå over åen efter vand,1,2,"vide hvordan et problem løses, eller hvordan noget gøres på den rigtige måde, fx hvordan samfundsgoder eller løn fordeles mest retfærdigt",gøre noget mere besværligt end man behøver; udføre unødvendigt arbejde,DISCREPANCY
have krudt i røven,2,3,være klar over den aktuelle situation,fare omkring; være meget foretagsom,DISCREPANCY
vende og dreje hver femøre,0,3,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY
tale for sin syge moster,2,1,fortælle (for) detaljeret om et familiemedlems sygdomsforløb,"snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende",DISCREPANCY
stampe op af jorden,1,3,stampe med fødderne rundt om en genstand så den lidt efter lidt slipper jordunderlaget,"skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser",DISCREPANCY
